date,branch,direction,dOpen,bHi,bLo,entry,sl,tp,outcome,exit_price,exit_bar,bars_held,bars_to_entry,pnl,mfe,mae
2024-02-19,along,1,7652.561,7663.999,7656.999,7663.999,7639.999,7702.999,TIMEOUT,7662.657,2024-02-19 13:07:00+11:00,180,0,-1.3419999999996435,17.59400000000005,6.438000000000102
2024-02-23,along,1,7648.593,7658.999,7648.689,7658.999,7631.689,7697.999,TIMEOUT,7647.657,2024-02-23 10:59:00+11:00,55,0,-11.341999999999643,0.6260000000002037,15.438000000000102
2024-02-26,along,1,7652.287,7671.723,7671.159,7671.723,7654.159,7710.723,SL,7654.159,2024-02-26 12:00:00+11:00,116,0,-17.564000000000306,19.532000000000153,19.532000000000153
2024-02-29,along,1,7640.597,7645.255,7643.755,7645.255,7626.755,7684.255,TIMEOUT,7659.561,2024-02-29 13:04:00+11:00,180,0,14.305999999999585,16.435999999999694,15.596000000000458
2024-03-01,along,1,7691.487,7713.625,7698.657,7713.625,7681.657,7752.625,TIMEOUT,7722.455,2024-03-01 13:05:00+11:00,180,0,8.829999999999927,25.373999999999796,17.967999999999847
2024-03-04,along,1,7748.797,7755.487,7747.689,7755.487,7730.689,7794.487,TIMEOUT,7738.797,2024-03-04 13:09:00+11:00,180,0,-16.69000000000051,13.511999999999716,21.829999999999927
2024-03-06,along,1,7704.687,7720.687,7699.559,7720.687,7682.559,7759.687,TIMEOUT,7707.655,2024-03-06 13:11:00+11:00,180,0,-13.032000000000153,7.3100000000004,24.09599999999955
2024-03-07,along,1,7750.355,7753.887,7752.387,7753.887,7735.387,7792.887,SL,7735.387,2024-03-07 10:19:00+11:00,15,0,-18.5,5.3100000000004,19.261999999999716
2024-03-12,along,1,7713.641,7715.715,7713.683,7715.715,7696.683,7754.715,TIMEOUT,7717.743,2024-03-12 13:04:00+11:00,180,0,2.0280000000002474,20.8779999999997,10.122000000000298
2024-03-19,along,1,7676.817,7683.147,7680.741,7683.147,7663.741,7722.147,TIMEOUT,7677.147,2024-03-19 13:04:00+11:00,180,0,-6.0,1.636000000000422,16.58600000000024
2024-03-20,along,1,7718.187,7722.147,7713.225,7722.147,7696.225,7761.147,TIMEOUT,7724.657,2024-03-20 13:05:00+11:00,180,0,2.5100000000002183,15.94000000000051,17.58600000000024
2024-03-21,along,1,7745.241,7771.689,7756.657,7771.689,7739.657,7810.689,SL,7739.657,2024-03-21 11:14:00+11:00,70,0,-32.03200000000015,6.0,32.12800000000061
2024-03-25,along,1,7776.673,7793.999,7781.689,7793.999,7764.689,7832.999,TP,7832.999,2024-03-25 10:47:00+11:00,43,0,39.0,40.038000000000466,1.0
2024-03-27,along,1,7768.681,7771.087,7764.283,7771.087,7747.283,7810.087,TIMEOUT,7786.315,2024-03-27 10:59:00+11:00,55,0,15.227999999999156,20.639999999999418,4.430000000000291
2024-08-23,along,1,7989.657,7998.419,7994.625,7998.419,7977.625,8037.419,TIMEOUT,8011.759,2024-08-23 13:04:00+10:00,180,0,13.340000000000146,17.579999999999927,10.826000000000022
2024-08-26,along,1,8045.625,8055.999,8052.999,8055.999,8035.999,8094.999,TIMEOUT,8067.095,2024-08-26 13:09:00+10:00,180,0,11.096000000000458,31.658000000000357,9.341999999999643
2024-08-27,along,1,8081.625,8083.689,8081.657,8083.689,8064.657,8122.689,TIMEOUT,8078.657,2024-08-27 13:06:00+10:00,180,0,-5.032000000000153,18.967999999999847,7.128000000000611
2024-08-28,along,1,8019.593,8037.549,8033.625,8037.549,8016.625,8076.549,SL,8016.625,2024-08-28 11:30:00+10:00,86,0,-20.923999999999978,15.481999999999971,32.95600000000013
2024-09-04,along,1,7983.199,8001.775,7988.731,8001.775,7971.731,8040.775,SL,7971.731,2024-09-04 10:38:00+10:00,34,0,-30.04399999999987,1.5320000000001528,32.53399999999965
2024-09-05,along,1,7947.999,7964.625,7954.689,7964.625,7937.689,8003.625,TIMEOUT,7966.657,2024-09-05 13:05:00+10:00,180,0,2.032000000000153,29.42199999999957,5.935999999999694
2024-09-06,along,1,7980.697,7981.397,7978.397,7981.397,7961.397,8020.397,TP,8020.397,2024-09-06 12:03:00+10:00,119,0,39.0,40.29200000000037,2.7399999999997817
2024-09-09,along,1,7900.593,7913.857,7898.867,7913.857,7881.867,7952.857,TP,7952.857,2024-09-09 10:39:00+10:00,35,0,39.0,39.141999999999825,3.2960000000002765
2024-09-11,along,1,8017.087,8017.905,8016.991,8017.905,7999.991,8056.905,SL,7999.991,2024-09-11 10:54:00+10:00,50,0,-17.91399999999976,3.0,18.247999999999593
2024-09-12,along,1,8027.599,8034.173,8027.141,8034.173,8010.141,8073.173,TIMEOUT,8031.953,2024-09-12 13:04:00+10:00,180,0,-2.219999999999345,15.134000000000015,10.434000000000196
2024-09-13,along,1,8115.689,8124.625,8120.657,8124.625,8103.657,8163.625,SL,8103.657,2024-09-13 11:23:00+10:00,79,0,-20.967999999999847,21.03399999999965,20.967999999999847
2024-09-16,along,1,8119.477,8133.977,8133.039,8133.977,8116.039,8172.977,SL,8116.039,2024-09-16 11:17:00+10:00,73,0,-17.938000000000102,13.087999999999738,18.587999999999738
2024-09-25,along,1,8182.561,8183.657,8176.561,8183.657,8159.561,8222.657,SL,8159.561,2024-09-25 10:21:00+10:00,17,0,-24.09600000000046,1.0,24.09600000000046
2024-09-26,along,1,8148.689,8176.593,8163.561,8176.593,8146.561,8215.593,TIMEOUT,8183.689,2024-09-26 13:05:00+10:00,180,0,7.096000000000458,24.00000000000091,12.032000000000153
2024-09-30,along,1,8239.689,8262.657,8248.657,8262.657,8231.657,8301.657,TIMEOUT,8269.561,2024-09-30 13:04:00+10:00,180,0,6.904000000000451,20.342000000000553,18.09599999999955
2024-10-01,along,1,8232.689,8240.689,8234.593,8240.689,8217.593,8279.689,SL,8217.593,2024-10-01 12:13:00+10:00,129,0,-23.09599999999955,4.309999999999491,24.12800000000061
2024-10-08,along,1,8181.593,8189.593,8183.689,8189.593,8166.689,8228.593,TIMEOUT,8196.593,2024-10-08 13:04:00+11:00,180,0,7.0000000000009095,36.40599999999995,3.032000000000153
2024-10-09,along,1,8192.999,8204.561,8202.625,8204.561,8185.625,8243.561,SL,8185.625,2024-10-09 13:05:00+11:00,179,0,-18.935999999999694,22.032000000001062,19.967999999999847
2024-10-10,along,1,8207.657,8214.561,8213.625,8214.561,8196.625,8253.561,TIMEOUT,8217.625,2024-10-10 14:13:00+11:00,180,0,3.0640000000003056,28.032000000001062,1.904000000000451
2024-10-14,along,1,8245.999,8261.593,8246.593,8261.593,8229.593,8300.593,SL,8229.593,2024-10-14 10:17:00+11:00,13,0,-32.0,0.0319999999992433,32.03200000000106
2024-10-15,along,1,8283.561,8293.561,8292.689,8293.561,8275.689,8332.561,TIMEOUT,8326.689,2024-10-15 13:06:00+11:00,180,0,33.12800000000061,34.4380000000001,4.0
2024-10-17,along,1,8353.689,8364.689,8359.999,8364.689,8342.999,8403.689,SL,8342.999,2024-10-17 11:41:00+11:00,97,0,-21.69000000000051,23.30999999999949,22.09599999999955
2024-10-21,along,1,8329.999,8337.561,8328.999,8337.561,8311.999,8376.561,TIMEOUT,8332.561,2024-10-21 13:04:00+11:00,180,0,-5.0,15.438000000000102,15.0
2024-10-23,along,1,8223.657,8226.561,8221.625,8226.561,8204.625,8265.561,SL,8204.625,2024-10-23 13:06:00+11:00,180,0,-21.935999999999694,9.095999999999549,22.0
2024-10-29,along,1,8254.657,8257.561,8257.561,8257.561,8240.561,8296.561,TIMEOUT,8257.657,2024-10-29 13:04:00+11:00,180,0,0.09599999999954889,9.128000000000611,11.967999999998938
2024-10-31,along,1,8160.689,8175.657,8167.999,8175.657,8150.999,8214.657,SL,8150.999,2024-10-31 11:54:00+11:00,109,0,-24.658000000000357,6.3419999999996435,25.032000000000153
2024-11-04,along,1,8141.561,8162.561,8154.689,8162.561,8137.689,8201.561,SL,8137.689,2024-11-04 10:38:00+11:00,34,0,-24.87199999999939,1.1280000000006112,25.0
2024-11-06,along,1,8196.625,8202.561,8197.657,8202.561,8180.656999999999,8241.561,SL,8180.656999999999,2024-11-06 10:40:00+11:00,36,0,-21.90400000000045,4.128000000000611,23.0
2024-11-14,along,1,8216.999,8225.657,8221.593,8225.657,8204.593,8264.657,TIMEOUT,8221.689,2024-11-14 13:07:00+11:00,180,0,-3.9679999999989377,13.968000000000757,10.063999999998487
2024-11-21,along,1,8336.657,8353.689,8340.593,8353.689,8323.593,8392.689,SL,8323.593,2024-11-21 11:36:00+11:00,92,0,-30.09599999999955,11.0,30.12800000000061
2024-11-25,along,1,8446.657,8468.657,8468.625,8468.657,8451.625,8507.657,SL,8451.625,2024-11-25 10:11:00+11:00,7,0,-17.031999999999243,2.342000000000553,21.031999999999243
2024-11-28,along,1,8429.689,8441.689,8433.593,8441.689,8416.593,8480.689,TIMEOUT,8461.689,2024-11-28 13:15:00+11:00,180,0,20.0,20.30999999999949,5.128000000000611
2024-12-05,along,1,8475.561,8485.625,8481.625,8485.625,8464.625,8524.625,TIMEOUT,8491.625,2024-12-05 13:08:00+11:00,180,0,6.0,7.0,17.968000000000757
2024-12-10,along,1,8429.593,8435.689,8429.657,8435.689,8412.657,8474.689,SL,8412.657,2024-12-10 10:24:00+11:00,20,0,-23.032000000001062,1.3099999999994907,25.064000000000306
2024-12-11,along,1,8370.689,8376.561,8374.999,8376.561,8357.999,8415.561,SL,8357.999,2024-12-11 11:28:00+11:00,84,0,-18.561999999999898,3.438000000000102,18.967999999998938
2024-12-16,along,1,8255.561,8285.593,8271.625,8285.593,8254.625,8324.593,TIMEOUT,8267.689,2024-12-16 13:05:00+11:00,180,0,-17.90400000000045,0.0,22.032000000001062
