date,branch,direction,dOpen,bHi,bLo,entry,sl,tp,outcome,exit_price,exit_bar,bars_held,bars_to_entry,pnl,mfe,mae
2026-04-09,fliplong,1,8916.593,8902.625,8901.689,8919.625,8884.689,8958.625,TP,8958.625,2026-04-09 12:45:00+10:00,161,6,39.0,39.373999999999796,5.935999999999694
2026-04-10,fliplong,1,8951.561,8928.561,8914.657,8945.561,8897.657,8984.561,TIMEOUT,8940.999,2026-04-10 13:06:00+10:00,180,55,-4.561999999999898,5.438000000000102,22.0
2026-04-13,fliplong,1,8905.593,8915.561,8897.625,8932.561,8880.625,8971.561,TIMEOUT,8912.657,2026-04-13 13:06:00+10:00,180,44,-19.90400000000045,2.095999999999549,22.0
2026-04-20,fliplong,1,8950.657,8934.593,8910.689,8951.593,8893.689,8990.593,TIMEOUT,8944.999,2026-04-20 13:07:00+10:00,180,89,-6.59400000000096,4.063999999998487,19.032000000001062
2026-04-23,fliplong,1,8823.593,8807.999,8791.689,8824.999,8774.689,8863.999,SL,8774.689,2026-04-23 11:53:00+10:00,109,49,-50.30999999999949,3.657999999999447,51.373999999999796
2026-04-27,fliplong,1,8756.693,8737.193,8734.161,8754.193,8717.161,8793.193,TIMEOUT,8768.289,2026-04-27 13:04:00+10:00,180,57,14.096000000001368,20.968000000000757,19.0
2026-05-06,fliplong,1,8731.699,8732.293,8723.889,8749.293,8706.889,8788.293,TP,8788.293,2026-05-06 12:02:00+10:00,118,50,39.0,39.5,5.531999999999243
2026-05-13,fliplong,1,8627.399,8633.399,8625.525,8650.399,8608.525,8689.399,TIMEOUT,8633.525,2026-05-13 13:04:00+10:00,180,104,-16.873999999999796,3.1900000000005093,19.938000000000102
2026-05-14,fliplong,1,8604.089,8607.461,8600.525,8624.461,8583.525,8663.461,TIMEOUT,8615.899,2026-05-14 13:04:00+10:00,180,16,-8.561999999999898,20.938000000000102,18.0
2026-05-15,fliplong,1,8687.461,8663.993,8654.899,8680.993,8637.899,8719.993,SL,8637.899,2026-05-15 11:20:00+10:00,76,11,-43.09400000000096,11.90599999999904,43.96800000000076
2026-05-19,fliplong,1,8595.399,8573.993,8573.057,8590.993,8556.057,8629.993,TIMEOUT,8586.461,2026-05-19 13:04:00+10:00,180,3,-4.532000000001062,15.467999999998938,30.5
2026-05-25,fliplong,1,8667.025,8654.461,8639.525,8671.461,8622.525,8710.461,TP,8710.461,2026-05-25 12:12:00+10:00,127,68,39.0,39.0,4.435999999999694
2026-06-01,fliplong,1,8716.899,8710.461,8706.493,8727.461,8689.493,8766.461,TIMEOUT,8721.493,2026-06-01 13:05:00+10:00,180,16,-5.967999999998938,4.096000000001368,32.46799999999894
2026-06-09,fliplong,1,8506.525,8532.461,8499.493,8549.461,8482.493,8588.461,TP,8588.461,2026-06-09 12:44:00+10:00,160,77,39.0,39.03200000000106,8.935999999999694
2026-06-11,fliplong,1,8571.993,8561.557,8555.493,8578.557,8538.493,8617.557,TP,8617.557,2026-06-11 11:10:00+10:00,66,11,39.0,43.341999999998734,19.096000000001368
2026-06-12,fliplong,1,8783.961,8766.057,8755.961,8783.057,8738.961,8822.057,TIMEOUT,8793.399,2026-06-12 13:04:00+10:00,180,20,10.341999999998734,27.341999999998734,10.096000000001368
2026-06-15,fliplong,1,8889.493,8888.057,8877.025,8905.057,8860.025,8944.057,TIMEOUT,8917.993,2026-06-15 13:06:00+10:00,180,6,12.935999999999694,30.903999999998632,4.096000000001368
2026-06-17,fliplong,1,8905.089,8889.993,8886.589,8906.993,8869.589,8945.993,TP,8945.993,2026-06-17 11:34:00+10:00,90,11,39.0,39.03199999999924,11.032000000001062
2026-06-24,fliplong,1,8799.025,8797.589,8794.525,8814.589,8777.525,8853.589,TIMEOUT,8786.025,2026-06-24 13:04:00+10:00,180,96,-28.564000000000306,9.5,30.09599999999955
