step,n,hit,obs,h99,year,phase
whole -> completion,246,224,0.9105691056910569,0.8888888888888888,2024-25,7
completion -> target,224,204,0.9107142857142857,0.9,2024-25,7
LQP -> overshoot,27305,1802,0.06599523896722212,0.0,2024-25,8
overshoot -> hz,1802,608,0.3374028856825749,0.3333333333333333,2024-25,8
hz -> half,608,377,0.6200657894736842,0.6,2024-25,8
half -> whole,377,255,0.6763925729442971,0.625,2024-25,8
whole -> completion,255,229,0.8980392156862745,0.8888888888888888,2024-25,8
completion -> target,229,207,0.9039301310043668,0.9,2024-25,8
LQP -> overshoot,29973,1756,0.05858606078804257,0.0,2024-25,9
overshoot -> hz,1756,600,0.3416856492027335,0.3333333333333333,2024-25,9
hz -> half,600,372,0.62,0.6,2024-25,9
half -> whole,372,255,0.6854838709677419,0.625,2024-25,9
whole -> completion,255,220,0.8627450980392157,0.8888888888888888,2024-25,9
completion -> target,220,197,0.8954545454545455,0.9,2024-25,9
LQP -> overshoot,25082,1667,0.06646200462483055,0.0,2024-25,10
overshoot -> hz,1667,582,0.34913017396520696,0.3333333333333333,2024-25,10
hz -> half,582,368,0.6323024054982818,0.6,2024-25,10
half -> whole,368,242,0.657608695652174,0.625,2024-25,10
whole -> completion,242,214,0.8842975206611571,0.8888888888888888,2024-25,10
completion -> target,214,191,0.8925233644859814,0.9,2024-25,10
LQP -> overshoot,25739,1749,0.06795135786161079,0.0,2024-25,11
overshoot -> hz,1749,595,0.3401943967981704,0.3333333333333333,2024-25,11
hz -> half,595,380,0.6386554621848739,0.6,2024-25,11
half -> whole,380,244,0.6421052631578947,0.625,2024-25,11
whole -> completion,244,218,0.8934426229508197,0.8888888888888888,2024-25,11
completion -> target,218,193,0.8853211009174312,0.9,2024-25,11
