net,pf,dd,streak
352.814,4.209179635979953,31.48400000000001,2
394.77799999999996,5.211953738477296,31.176999999999964,2
294.18,3.3482737976451804,31.364000000000004,2
636.5440000000001,inf,0.0,0
550.673,18.678105939004816,15.580000000000013,1
352.05300000000005,4.1999291031549095,47.347999999999956,3
502.33599999999996,11.673465918748937,15.863999999999976,1
411.56199999999995,6.25857024212611,31.471000000000004,2
105.023,1.5162027593596554,109.351,7
479.14700000000005,8.673595874505533,15.620000000000005,1
521.063,12.186410476599397,15.580000000000013,1
355.10099999999994,4.247053337112865,31.200000000000017,2
387.795,5.133658089410962,15.864,1
296.756,3.3744089101543433,31.471000000000004,2
270.51800000000003,2.920719671688843,47.02400000000003,3
369.69500000000005,4.960862251840107,46.68700000000001,3
427.269,6.491889460154242,31.149999999999977,2
429.27,6.479016694746515,31.363999999999976,2
509.605,11.890391930589393,15.607,1
394.20099999999996,5.215287060106719,46.797,3
213.59699999999998,2.368781600651078,37.087999999999994,2
359.277,4.833760163902939,31.44399999999996,2
264.214,2.8805534598357276,31.433999999999997,2
467.428,8.462847654628476,15.864000000000004,1
473.125,8.58821170809944,31.149999999999977,2
312.703,3.511529472238508,31.120000000000005,2
541.483,18.40711093965988,15.607,1
428.01399999999995,6.453449703765051,31.471000000000004,2
269.31600000000003,2.910693001872978,31.48400000000001,2
355.65500000000003,4.2640877386196765,31.189999999999998,2
303.201,3.4337073781544984,52.11699999999996,3
314.82000000000005,3.5234453902755734,46.821,3
436.52899999999994,6.600330994137042,31.19999999999999,2
270.43,2.91890952181595,15.864000000000004,1
394.76,5.211312381318142,31.444000000000017,2
140.277,1.74754994697547,61.215,3
461.156,8.410866665595321,15.620000000000005,1
303.628,3.4358834477889735,46.757000000000005,3
396.25100000000003,5.216108953556419,31.10699999999997,2
233.26300000000003,2.49731044753126,46.794,3
386.638,5.114570917759237,46.984,3
429.347,6.478600959575337,31.069999999999993,2
468.706,8.524095418499375,15.607,1
479.759,8.694117458382781,31.176999999999964,2
295.053,3.3658939468050137,31.176999999999964,2
377.932,5.037433097952077,31.189999999999998,2
468.219,8.438896126592738,15.864000000000004,1
511.39,11.950535331905783,31.08,2
478.773,8.680768120127057,31.107000000000028,2
479.033,8.717625261801194,46.56999999999999,3
434.90900000000005,6.558368692807116,31.48400000000001,2
147.43300000000002,1.7871825812100892,52.048,3
469.265,8.503317823507778,31.07,2
467.40500000000003,8.462480441932497,31.44399999999996,2
419.407,6.3855053481772535,31.120000000000005,2
543.0840000000001,18.276961252147355,31.43399999999997,2
435.018,6.5445971092813995,31.14999999999999,2
449.63699999999994,8.154356542769857,31.364000000000004,2
469.428,8.534959871589084,15.579999999999998,1
422.44399999999996,6.421509240246406,46.72,3
345.23,4.162982033404491,31.189999999999998,2
345.26500000000004,4.152385300159781,46.93399999999997,3
436.43399999999997,6.598609436334248,15.620000000000005,1
351.727,4.211092344912585,31.364000000000004,2
352.899,4.232149399179367,46.579999999999984,3
311.099,3.4884336655521606,31.471000000000004,2
269.485,2.9149760170545393,62.918,4
334.61,4.054264981059741,31.17700000000002,2
336.017,4.063556463230066,31.48400000000001,2
411.198,6.2812483945543285,31.159999999999968,2
355.146,4.242217312713396,31.48399999999998,2
304.072,3.439974001171552,31.14,2
501.2370000000001,11.668248765537205,15.864,1
519.999,12.163568054959212,15.580000000000013,1
478.831,8.67640316142168,31.189999999999998,2
355.804,4.26413709588639,31.139999999999986,2
550.369,18.65304551432146,31.17700000000002,2
385.83299999999997,5.113752918723545,15.863999999999976,1
147.887,1.7889368421614185,62.724,4
502.467,11.681469356518782,15.864000000000004,1
426.89,6.449543626731345,31.471000000000004,2
287.609,3.298757143428046,31.226999999999997,2
459.776,8.351593354759279,31.069999999999993,2
467.749,8.473103161796425,31.471000000000004,2
169.83800000000002,1.9870916371709708,62.84800000000001,4
426.37800000000004,6.475018298085441,31.120000000000005,2
188.399,2.0941153240840222,62.928,4
263.776,2.874221075892254,47.33499999999998,3
436.75500000000005,6.575477117508138,31.364000000000004,2
395.49899999999997,5.230071553097961,15.620000000000005,1
378.64500000000004,5.042286299922068,31.120000000000005,2
509.14,11.874412644169157,15.620000000000005,1
361.12300000000005,4.849186723230084,31.444000000000017,2
393.96200000000005,5.181654141722923,31.727999999999952,2
304.64300000000003,3.4337367685240663,46.650000000000006,3
336.618,4.072313238716743,15.864000000000004,1
452.354,8.245315052695647,15.864000000000004,1
540.529,18.33020198781661,15.620000000000005,1
370.49800000000005,4.950798694789824,15.864000000000004,1
438.598,6.6283188111950935,15.620000000000005,1
264.11300000000006,2.882648551551095,31.24,2
477.7,8.636601975892829,31.363999999999976,2
311.96500000000003,3.495500395965155,31.433999999999997,2
452.21399999999994,8.24701923076923,15.620000000000005,1
419.698,6.391803699897225,31.15,2
542.9230000000001,18.429309791332265,15.579999999999984,1
387.54,5.132393555197749,31.43399999999997,2
419.971,6.388803346421331,15.607,1
477.99600000000004,8.594229608210735,31.728,2
269.836,2.923264980292372,31.227000000000004,2
469.35499999999996,8.455404654118022,31.226999999999997,2
427.25,6.482906421641599,31.17700000000002,2
396.07399999999996,5.225780983270742,31.214,2
304.64099999999996,3.434498741359332,31.727999999999952,2
347.03000000000003,4.1712220485968325,31.199999999999996,2
262.897,2.867763134524529,31.48399999999998,2
518.825,12.042588966456666,15.864000000000004,1
461.162,8.429708393748992,31.069999999999993,2
354.602,4.240594014164953,31.471000000000004,2
354.604,4.245773494064127,31.363999999999976,2
259.783,2.8403573275526184,37.17399999999998,2
437.81399999999996,6.603373691350756,31.44399999999996,2
345.795,4.173391944350125,31.187000000000012,2
377.828,5.012105509068513,15.864000000000004,1
436.12600000000003,6.600405783701878,31.107,2
334.89699999999993,4.070562131533827,31.19999999999999,2
