perm,best_pf,best_exp,median_pf,n_cells
221,2.7359441602728043,10.1813125,1.0497383574310695,29
222,3.043944548547309,11.234950000000001,0.9225642907939712,29
223,2.8808116927369367,10.66309090909091,0.9212581115643957,29
224,2.0070101758570815,6.908818181818182,0.8624643280206765,29
225,1.6485452744349869,5.104416666666667,0.8043121350016117,29
226,2.117006932216564,7.412105263157894,1.007706191835533,29
227,1.9002290173459435,6.531230769230769,1.139015227297988,29
228,2.360978525040838,8.5398,1.0519087034687937,29
229,1.7069854157652267,5.290809523809524,1.0967704851723328,29
230,3.4833809178846886,11.6555,1.0375809443451123,29
231,4.007464891881127,13.76905882352941,0.9051599648668829,28
232,2.25799194600783,8.270105263157895,0.8805262493255422,29
233,1.9268824901286166,6.690083333333334,0.9733998716548405,28
234,1.6037759448548063,4.827222222222222,0.9371369987779815,29
235,2.060590072297403,7.083428571428572,0.9892045042392589,29
236,2.3912538096250615,8.922363636363638,1.1294809718818395,29
237,1.9635557712942615,6.857363636363636,1.0644106355751457,29
238,3.2810859157152628,12.0435,1.1392825138603038,29
239,2.273028109190957,8.367083333333332,0.8846863553636553,28
240,2.0759987762551297,7.285357142857142,1.0639449187726708,29
241,3.7312818720510905,13.225076923076923,1.0479332770959753,29
242,2.002705178179649,7.061099999999999,0.9453258022514335,29
243,2.1102182200438206,7.622565217391304,0.8813130894290064,29
244,2.8833572245397585,10.63018181818182,1.0410714934758114,29
245,1.9162974439305498,6.411040000000001,0.9758147968387987,29
246,2.5224210827478784,8.551928571428572,1.188228315226251,28
247,1.8042876221269417,6.022421052631579,0.893447240500154,29
248,2.380433393447977,8.837409090909093,1.0334679418279675,28
249,1.9506614467631684,6.891344827586207,0.9165183814016441,29
250,2.8241424557402053,10.212461538461538,0.9823683908070442,29
251,2.682102786597012,9.498714285714286,0.9654073175931353,29
252,1.5618027870231523,4.388642857142858,0.8949890686488848,29
253,2.037257264771538,7.242344827586207,0.960370791680164,29
254,3.146629826715786,11.653814814814814,0.8940028675119853,29
255,1.9031584327254314,6.563607142857142,0.821366219975925,29
256,2.1313469372143277,7.716130434782609,1.0931252788341017,29
257,2.336758575294376,8.601176470588237,0.9564328129257159,29
258,2.0368073768652173,7.029869565217391,1.1113685262676403,29
259,2.427657843212043,8.637769230769232,1.0068926457073244,29
260,4.167432793870982,13.974079999999999,0.8601273614298524,29
261,2.052664511933151,7.121766666666669,0.9329412809511385,29
262,4.14723386420788,12.515500000000003,0.9115111615781437,29
263,3.774698342602179,13.167391304347827,1.0436707920509218,29
264,2.6783188248095753,9.988714285714284,0.9268244199545187,29
265,1.802161965656609,6.00184,1.087146929146531,29
266,2.041289501827866,7.093809523809524,0.945899102003552,29
267,3.974489206972181,13.641882352941176,1.0966150885744042,29
268,1.7643268271343397,5.759259259259259,0.8463544072589624,28
269,1.9132741948373693,6.592961538461537,0.8196942613985007,29
270,1.532016121339311,4.317774193548387,0.8438276459126965,28
271,2.1075549997157634,7.306125000000001,1.2864499561339375,29
272,9.045202804366616,19.331384615384614,0.9528783017063686,29
273,3.4067970898994835,11.70275,1.018700978162415,29
274,3.103811112536892,10.93,1.0840816105671678,29
275,2.167647572060853,7.886249999999999,1.0254878170064645,29
276,1.8559700297781048,6.075636363636363,0.9908951364415974,29
277,2.5919514854908643,9.653645161290322,1.0341718105981423,29
278,3.0557586837294335,10.911814814814814,1.0605696713952235,29
279,2.0554620535872794,7.077476190476191,0.8453362558533426,29
280,2.6068685248799515,9.797166666666666,0.8755979442158828,29
281,2.460107848122722,9.188166666666666,0.9943517294684222,29
282,3.2715506207602716,11.83175,0.999736388621752,29
283,1.6666273515362386,5.067310344827586,0.8789022704837117,29
284,2.2600399964782976,8.3485,1.073856711134857,29
285,4.003423537958589,13.22948,1.0206589051207808,28
286,3.5601983226963445,12.773368421052629,1.0640116200513448,29
287,2.301756208949097,8.456208333333334,0.8231760391941223,29
288,2.242482964563114,8.234,1.095129968196436,29
289,2.7502843932332763,10.041473684210526,0.8576842011683081,29
290,3.5880038490323956,12.73978947368421,0.83466084393053,29
291,1.6997292887677624,5.117866666666667,0.9168292460931472,29
292,2.3962240715439074,8.992799999999999,1.0706957145664524,29
293,3.840323374040251,13.2805,1.1861255026101316,29
294,5.318590274679752,15.944235294117648,1.1265466529281027,29
295,3.34750157133878,11.491923076923076,1.0052531312643058,29
296,3.594268059881443,12.910375000000002,1.0159059474412173,29
297,1.7423328576967196,5.628030303030303,0.9837251587789387,29
298,2.3133758854405544,8.253421052631579,0.9709104674811836,29
299,2.64675757075142,9.968076923076922,1.1534915585484633,29
