sl,tp,n,pf,exp,net,mdd,wr
15.0,3.0,25,1.0988051775638898,0.23815999999999996,5.953999999999999,32.334,84.0
15.0,5.0,25,1.072857706989601,0.26567999999999975,6.641999999999994,44.164,76.0
15.0,10.0,25,1.4235915434936641,2.0565199999999995,51.41299999999998,34.69,68.0
15.0,15.0,25,2.11897111407715,5.43256,135.814,30.09,68.0
15.0,20.0,25,2.8710596997709557,9.08392,227.098,30.089999999999996,68.0
15.0,25.0,25,3.474747474747475,12.014800000000001,300.37,30.089999999999996,68.0
15.0,25.5,25,3.5371166806729617,12.3176,307.94,30.089999999999996,68.0
15.0,30.0,25,3.4468705792671748,13.35316,333.829,30.089999999999996,64.0
15.0,35.0,25,4.00309313865617,16.3886,409.71500000000003,30.090000000000003,64.0
15.0,50.0,25,4.055270347353569,20.3536,508.84,45.940999999999974,56.00000000000001
15.0,75.0,25,3.6824692764710676,21.094079999999998,527.352,45.940999999999974,48.0
15.0,100.0,25,3.2594663314303003,19.1234,478.085,45.940999999999974,44.0
15.5,3.0,25,2.329498714652957,1.65496,41.374,27.97,92.0
15.5,5.0,25,2.418674442363358,2.6662,66.655,26.089999999999996,88.0
15.5,10.0,25,2.605485448076381,5.01772,125.443,20.519999999999996,80.0
15.5,15.0,25,3.0736604047321876,7.775479999999999,194.38699999999997,15.864000000000004,76.0
15.5,20.0,25,4.152206611834736,11.819640000000001,295.49100000000004,15.864000000000004,76.0
15.5,25.0,25,5.034125942757171,15.126520000000001,378.163,15.863999999999976,76.0
15.5,25.5,25,5.125014668074803,15.467320000000003,386.68300000000005,15.863999999999976,76.0
15.5,30.0,25,4.004305791209143,15.01528,375.382,15.863999999999976,68.0
15.5,35.0,25,3.8845335893879582,16.22204,405.551,31.26700000000001,64.0
15.5,50.0,25,3.932395530687224,20.14544,503.636,47.13099999999997,56.00000000000001
15.5,75.0,25,3.570166094606857,20.84672,521.168,47.13099999999997,48.0
15.5,100.0,25,3.1577749695521184,18.85084,471.271,47.13099999999997,44.0
17.5,3.0,25,2.063592371192713,1.4945599999999999,37.364,31.980000000000004,92.0
17.5,5.0,25,2.135790403518334,2.4172799999999994,60.43199999999999,30.1,88.0
17.5,10.0,25,2.296749664361384,4.5976,114.94,24.53,80.0
17.5,15.0,25,2.711690853991379,7.27496,181.874,19.470000000000006,76.0
17.5,20.0,25,3.6632220904624764,11.31912,282.978,18.076999999999998,76.0
17.5,25.0,25,4.441282210552073,14.626,365.65,18.076999999999998,76.0
17.5,25.5,25,4.521467427108627,14.9668,374.16999999999996,18.076999999999998,76.0
17.5,30.0,25,3.5393779047969387,14.35876,358.969,18.076999999999998,68.0
17.5,35.0,25,3.435507105069478,15.487,387.175,35.14,64.0
17.5,50.0,25,3.4687604324490904,19.2272,480.68,53.82400000000001,56.00000000000001
17.5,75.0,25,3.1426363723183517,19.74328,493.582,53.82400000000001,48.0
17.5,100.0,25,2.7802605800162867,17.664599999999997,441.61499999999995,53.82400000000001,44.0
20.0,3.0,25,1.7952947003467068,1.28456,32.114,37.23,92.0
20.0,5.0,25,1.8815338510190909,2.1296799999999996,53.24199999999999,35.35,88.0
