set,sl,tp,n_tr,net_tr,exp_tr,pf_tr,dd_tr,mar_tr,r2_tr,t_tr,n_te,net_te,exp_te,pf_te,dd_te,mar_te,r2_te,n_f,net_f,exp_f,pf_f,dd_f,mar_f,r2_f,t_f
A_short_only,5,50,65,-94.009,-1.4462923076923078,0.6870132940028831,148.47299999999998,-0.6331723613047491,0.3783835304071212,-0.9247325094276568,36,53.974999999999994,1.4993055555555554,1.3370109516852104,62.38,0.8652613016992624,0.42748099311275967,101,-40.034,-0.39637623762376234,0.9130676475889159,148.47299999999998,-0.2696382507257212,0.1388182745328167,-0.27674650729568084
A_short_only,6,3,65,-120.349,-1.851523076923077,0.439593393340256,132.47200000000004,-0.9084863216377799,0.9478728294208906,-3.1974338184818643,36,-25.480999999999998,-0.7078055555555555,0.7227734621494007,44.634000000000015,-0.5708876641125598,0.7835573572133616,101,-145.82999999999996,-1.4438613861386134,0.5244679081870565,164.15300000000008,-0.8883785249127332,0.9682025144306032,-3.1064593233698226
A_short_only,6,4,65,-131.091,-2.0167846153846156,0.45409229846668947,147.688,-0.8876212014517091,0.9574341536973858,-3.176800469035848,36,-35.224,-0.9784444444444443,0.6815017089534695,63.504000000000005,-0.554673721340388,0.7612745999435205,101,-166.315,-1.6466831683168317,0.5258006204238043,194.892,-0.8533700716294152,0.9714210708567852,-3.2064147117594834
A_short_only,6,5,65,-129.481,-1.9920153846153845,0.48665707228691163,145.141,-0.892104918665298,0.9457522978972919,-2.928561513358538,36,-18.72,-0.52,0.8307322277881262,53.282999999999994,-0.3513315691684027,0.5822117654038401,101,-148.20099999999996,-1.467336633663366,0.5915358643974369,177.921,-0.8329595719448518,0.9533754753631029,-2.642487759137352
A_short_only,6,6,65,-116.144,-1.7868307692307692,0.5515692989602357,140.758,-0.8251324969095895,0.9065036498320124,-2.4121664622413803,36,-13.003,-0.36119444444444443,0.8885336122207556,49.413,-0.26314937364661123,0.2925493987630083,101,-129.14699999999996,-1.2786831683168314,0.656208489172246,177.781,-0.7264387082984118,0.9369220045269445,-2.1201794898537454
A_short_only,6,8,65,-104.034,-1.600523076923077,0.6249472754474827,123.41199999999999,-0.8429812335915471,0.916171384421207,-1.852120724829867,36,-5.446999999999998,-0.1513055555555555,0.9578049592922822,44.224,-0.1231684153400868,0.08525034501323374,101,-109.481,-1.083970297029703,0.7306581446383058,162.85999999999996,-0.672239960702444,0.9245904734288595,-1.5453296518855968
A_short_only,6,10,65,-100.45200000000001,-1.5454153846153849,0.6530778582085429,123.328,-0.8145108977685522,0.9377197738751041,-1.6504170421795024,36,-59.07100000000001,-1.6408611111111115,0.6314075164887276,97.67099999999999,-0.604795691658732,0.6939595453034687,101,-159.52300000000005,-1.579435643564357,0.6453570706048959,218.20600000000007,-0.7310660568453663,0.9580661502962599,-2.1281578806870547
A_short_only,6,12,65,-84.04,-1.292923076923077,0.7156699552054999,114.42899999999997,-0.7344292093787417,0.8934701103579163,-1.2631999287140117,36,-55.401,-1.5389166666666667,0.6676225844577366,86.20100000000001,-0.6426955603763297,0.7240315901133975,101,-139.44099999999995,-1.3806039603960392,0.6983448457879127,194.25700000000003,-0.7178171185594338,0.9541743569461171,-1.6973731141537411
A_short_only,6,15,65,-81.887,-1.2598,0.7338384380109146,112.64,-0.7269797585227272,0.8359832677361946,-1.1268468237964477,36,-30.081,-0.8355833333333333,0.8195295204612403,72.49100000000001,-0.4149618573340138,0.3888094806932999,101,-111.96799999999993,-1.10859405940594,0.7639499093477253,185.13099999999997,-0.6048041656988832,0.9244336794549147,-1.2242723530024824
A_short_only,6,20,65,-23.883999999999993,-0.36744615384615376,0.9223685964005605,71.303,-0.33496486823836297,0.11796452115008699,-0.27124020779008917,36,-37.73799999999999,-1.0482777777777776,0.789256775245573,47.92700000000001,-0.7874058463913867,0.10151308887168836,101,-61.622000000000014,-0.6101188118811882,0.8733959279271877,117.24900000000001,-0.5255652500234544,0.6738313619275059,-0.5701520880922328
A_short_only,6,25,65,-46.55999999999999,-0.7163076923076921,0.8543948913121662,85.217,-0.5463698557799499,0.15126913562142102,-0.49385990462697243,36,-33.94099999999999,-0.9428055555555552,0.8166154278397028,55.2,-0.6148731884057969,0.07632990705456129,101,-80.50099999999999,-0.797039603960396,0.8405447162523523,138.007,-0.583310991471447,0.6849743002510809,-0.6850884705908967
A_short_only,6,30,65,-71.317,-1.0971846153846152,0.7852434481741012,112.00100000000002,-0.6367532432746135,0.2391500701717684,-0.7200608873961717,36,-39.54800000000001,-1.0985555555555557,0.793160077614657,73.55000000000001,-0.5377022433718559,0.29401054324842485,101,-110.86499999999995,-1.0976732673267322,0.788136079069874,155.27800000000002,-0.713977511302309,0.6769120430372089,-0.8890870893112374
