kind,sl,tp,n,exp,net,win,p_tp,p_sl,p_eod,pf
A_L,12,60,134,3.9962761194029848,535.501,31.343283582089555,11.940298507462686,67.91044776119402,20.149253731343283,1.4786823611019242
F_S,12,60,116,-0.7680086206896553,-89.08900000000001,25.0,8.620689655172415,73.27586206896551,18.103448275862068,0.9154824687478952
A_S,12,75,101,1.4413267326732673,145.57399999999998,26.732673267326735,7.920792079207921,70.29702970297029,21.782178217821784,1.1656572967092493
F_L,12,75,104,0.13892307692307693,14.448,25.961538461538463,4.807692307692308,72.11538461538461,23.076923076923077,1.0155956529060506
A_L,12,75,134,4.364014925373135,584.778,30.597014925373134,8.208955223880597,68.65671641791045,23.134328358208954,1.5171356258655366
F_S,12,75,116,-0.9770775862068969,-113.34100000000004,25.0,6.0344827586206895,73.27586206896551,20.689655172413794,0.8924749238441915
A_S,15,3,101,-1.0266039603960395,-103.68699999999998,77.22772277227723,77.22772277227723,22.772277227722775,0.0,0.7029391794134245
F_L,15,3,104,-1.462923076923077,-152.144,74.03846153846155,74.03846153846155,24.03846153846154,1.9230769230769231,0.6134739430769347
A_L,15,3,134,-0.9944999999999998,-133.26299999999998,76.86567164179104,76.86567164179104,22.388059701492537,0.7462686567164178,0.70765464273727
F_S,15,3,116,-0.7626896551724139,-88.47200000000002,77.58620689655173,77.58620689655173,22.413793103448278,0.0,0.7763571329263514
A_S,15,4,101,-1.1712178217821785,-118.29300000000003,72.27722772277228,72.27722772277228,27.722772277227726,0.0,0.7215678797892922
F_L,15,4,104,-1.2837307692307693,-133.508,71.15384615384616,71.15384615384616,26.923076923076923,1.9230769230769231,0.6958531434598675
A_L,15,4,134,-0.5203880597014926,-69.73200000000001,75.3731343283582,75.3731343283582,23.88059701492537,0.7462686567164178,0.8565179280573171
F_S,15,4,116,-0.28571551724137934,-33.143,75.86206896551724,75.86206896551724,24.137931034482758,0.0,0.9221761468234587
A_S,15,5,101,-0.5393465346534655,-54.47400000000001,72.27722772277228,71.28712871287128,27.722772277227726,0.9900990099009901,0.8717818356423618
F_L,15,5,104,-1.324576923076923,-137.756,67.3076923076923,67.3076923076923,30.76923076923077,1.9230769230769231,0.7246823742437839
A_L,15,5,134,-0.21626119402985086,-28.979000000000017,73.13432835820896,73.13432835820896,26.119402985074625,0.7462686567164178,0.9454685388902898
F_S,15,5,116,0.2500862068965517,29.009999999999998,75.0,75.0,25.0,0.0,1.0658014117476275
A_S,15,6,101,0.21430693069306933,21.645000000000003,72.27722772277228,71.28712871287128,27.722772277227726,0.9900990099009901,1.0509469135279412
F_L,15,6,104,-1.3036826923076923,-135.583,64.42307692307693,64.42307692307693,33.65384615384615,1.9230769230769231,0.7518008592867591
