sl,tp,n,exp,pf,mar,r2,t,exp_tr,exp_te,n_te
18,40,134,2.6841641791044775,1.2648970432382314,1.6616065488949658,0.6723189753585654,1.2143564564307043,3.8800204081632654,-0.571222222222222,36
22,3,134,-1.796902985074627,0.5799006214647866,-0.8400639158209103,0.9211768064362383,-2.0844726864814676,-1.7991428571428574,-1.7908055555555553,36
22,5,134,-1.043313432835821,0.788984331251915,-0.5861385142358825,0.7256302565660152,-1.0631698048644584,-0.8200306122448983,-1.6511388888888894,36
22,8,134,-1.1994552238805969,0.8227880340824897,-0.462221800435399,0.31498366923153664,-0.992882620083351,0.6255816326530611,-6.1676111111111105,36
22,10,134,-1.362126865671642,0.8247501471417064,-0.4747926155799092,0.4197817933319309,-1.0236541742428311,0.3433571428571427,-6.004833333333333,36
22,12,134,-0.6081492537313432,0.92380314784669,-0.250849586288416,0.15011859340816336,-0.4307965339747648,1.1782142857142857,-5.471027777777778,36
22,15,134,0.4673731343283577,1.0557489676364369,0.19530480122743754,0.00460762587727367,0.30239218263642204,2.139071428571428,-4.083361111111112,36
22,20,134,1.3355820895522386,1.142085005843199,0.646880862276488,0.23245596073528235,0.7509960696324833,2.8849489795918366,-2.882138888888888,36
22,25,134,2.861746268656716,1.2939486923187193,1.7706045858766821,0.6838800632707951,1.4509638025643226,4.297765306122449,-1.0474166666666664,36
22,30,134,1.6132014925373133,1.1479741001343733,0.65767432237965,0.4077238163592096,0.7580007422782853,3.420357142857142,-3.306277777777778,36
22,40,134,0.8697313432835818,1.072797368041341,0.3307732915552679,0.18635491650948777,0.3697135764914555,2.2096530612244893,-2.777833333333334,36
26,3,134,-1.8500000000000003,0.5802808173603574,-0.8363979891359358,0.9077861446767834,-1.9619010242270378,-1.8835510204081636,-1.7586666666666666,36
26,5,134,-1.169417910447761,0.7746083024208802,-0.651982342196907,0.7479735356582127,-1.0892983584818818,-0.9413061224489798,-1.7903888888888895,36
26,8,134,-1.1858582089552239,0.8304910271877864,-0.42992264882458137,0.22313690326016225,-0.9078269870139399,0.7920612244897961,-6.570194444444446,36
26,10,134,-0.9107985074626865,0.8828389665768458,-0.33239282416926985,0.14238798708481337,-0.6395773259139136,1.127551020408163,-6.459638888888889,36
26,12,134,-0.08734328358208919,0.9891008986357499,-0.0333583197713027,0.001476625859105176,-0.05792701435449896,2.027204081632653,-5.8436111111111115,36
26,15,134,1.0532537313432837,1.12424895216447,0.41746579191784133,0.1844895236632854,0.6400055970904472,3.057857142857142,-4.403722222222223,36
26,20,134,1.867261194029851,1.1935693746146414,0.7811369291237801,0.46505990076440407,0.9882386910355389,3.8911530612244896,-3.6422222222222222,36
26,25,134,3.490492537313433,1.3503423831545396,1.8040530116020734,0.7354521966992167,1.681120555002599,5.436693877551021,-1.8075000000000006,36
26,30,134,2.2539477611940297,1.1999792094561221,0.7798019699727613,0.5741830966598663,1.000251447470532,4.690030612244898,-4.377611111111111,36
26,40,134,1.5969626865671644,1.1298160131470312,0.5863801895659275,0.4569700898353206,0.6424334823343786,3.639795918367346,-3.964083333333334,36
30,3,134,-0.8020298507462688,0.7691608798657991,-0.5819646831392044,0.45458305321001263,-0.8984925472390961,-0.5444183673469388,-1.5033055555555555,36
30,5,134,0.07967164179104463,1.0191000642274544,0.05562560570219761,0.03884485980555715,0.07717487695999091,0.37670408163265307,-0.7289166666666667,36
30,8,134,0.08306716417910427,1.0136321439856173,0.032102233399473865,0.004716688132568379,0.06386335505334675,2.3026530612244906,-5.95913888888889,36
30,10,134,0.5451940298507462,1.0805214673212196,0.20501422774494443,0.059045218769712846,0.3836808080947101,2.892091836734694,-5.843583333333333,36
30,12,134,0.7952985074626865,1.1061331559301912,0.30927595703742833,0.11422319516312983,0.5165410278939413,2.9663469387755104,-5.114777777777778,36
30,15,134,1.8989701492537314,1.2366500599386012,0.8074211337949067,0.3252657267068547,1.1290033444252576,3.968755102040817,-3.7354444444444446,36
30,20,134,2.615835820895523,1.2827814265004018,1.1431655708620332,0.5731037767328858,1.355719570584907,4.965857142857144,-3.7814444444444444,36
30,25,134,4.283298507462686,1.446274758614684,2.2345411295691413,0.7784781063997033,2.023394865534657,6.5718775510204095,-1.946722222222222,36
30,30,134,2.9438432835820896,1.265639909521825,1.1156251148926308,0.6316750547742038,1.2700306268568935,5.808683673469387,-4.85488888888889,36
30,40,134,2.1519850746268663,1.1754392582497812,0.8255563285322891,0.5343278655180723,0.839624751383685,4.616102040816327,-4.55588888888889,36
