date,kind,side,entry,mfe,mae,min_to_mfe,min_to_mae,mfe_first,eod_pnl
2025-09-18,F_L,long,3672.045,0.74,9.33,6.8738166666666665,214.72581666666667,True,-8.897
2025-09-18,A_S,short,3663.625,29.28,9.375,360.9246166666667,561.4735666666667,True,-0.04
2025-09-19,A_L,long,3644.375,16.65,12.437,243.0622,46.95421666666667,False,4.75
2025-09-19,F_S,short,3639.675,6.9,21.92,101.95421666666667,298.0622,True,-10.01
2025-09-22,A_L,long,3690.865,37.28,5.63,640.2995,151.80031666666667,False,30.51
2025-09-23,A_L,long,3749.315,41.55,12.86,534.82565,146.1338,False,34.75
2025-09-23,F_S,short,3746.648,9.623,44.837,161.1372,549.8474833333333,True,-38.017
2025-09-24,F_L,long,3765.365,13.633,15.036,438.7142666666667,132.09205,False,2.51
2025-09-24,A_S,short,3759.725,8.71,19.79,147.09205,452.20941666666664,True,-8.66
2025-09-25,A_L,long,3748.055,13.37,18.69,488.27998333333335,116.41943333333333,False,-9.49
2025-09-25,F_S,short,3741.065,11.14,20.937,51.41943333333333,423.2816833333333,True,1.94
2025-09-26,A_L,long,3748.025,9.18,13.75,701.2688666666667,140.88256666666666,False,3.76
2025-09-26,F_S,short,3741.548,6.773,16.197,165.88256666666666,726.2688666666667,True,-10.807
2025-09-29,A_L,long,3773.295,57.91,5.67,707.9936333333334,74.9958,False,40.21
2025-09-30,A_L,long,3838.915,32.59,46.04,355.35658333333333,572.00715,True,-19.87
2025-09-30,F_S,short,3832.298,38.783,1.407,87.00715,0.7281333333333333,False,12.546
2025-10-01,A_L,long,3865.495,29.65,12.44,485.7694833333333,366.73493333333334,False,4.8
2025-10-01,F_S,short,3860.998,7.303,34.777,351.7307,470.7644,True,-9.787
2025-10-02,F_L,long,3864.692,27.193,3.377,643.0810666666666,39.99555,False,19.553
2025-10-02,A_S,short,3859.225,6.053,33.3,50.49418333333333,718.0810666666666,True,-25.627
2025-10-03,F_L,long,3862.865,12.01,8.317,334.02501666666666,249.15381666666667,False,10.813
2025-10-03,A_S,short,3859.755,21.33,15.587,204.448,768.95375,True,-14.44
2025-10-06,A_L,long,3922.335,26.97,3.817,363.10116666666664,30.6119,False,15.67
2025-10-07,A_L,long,3967.205,9.92,26.52,72.7883,526.5835333333333,True,-0.38
2025-10-07,F_S,short,3962.548,21.306,15.167,536.5835333333333,82.7883,False,-4.787
2025-10-08,A_L,long,3992.235,57.163,8.19,639.85575,109.77183333333333,False,45.56
2025-10-08,F_S,short,3988.785,4.01,61.16,99.77183333333333,629.8220166666666,True,-49.72
2025-10-09,F_L,long,4022.055,24.4,19.66,640.4005833333333,117.6587,False,22.18
2025-10-09,A_S,short,4013.595,11.96,33.43,21.6874,690.4005833333333,True,-31.21
2025-10-10,A_L,long,3977.395,28.99,30.72,627.3373,294.83871666666664,False,9.45
2025-10-10,F_S,short,3974.578,27.046,32.477,304.8378666666667,637.3254666666667,True,-12.857
2025-10-13,A_L,long,4060.375,24.69,36.08,702.4785666666667,72.35748333333333,False,13.37
2025-10-13,F_S,short,4041.088,16.123,44.557,47.3026,677.4785666666667,True,-33.207
2025-10-14,A_L,long,4116.052,63.303,26.247,371.9053333333333,456.25945,True,14.103
2025-10-14,F_S,short,4114.525,23.573,66.43,451.25945,354.22523333333334,False,-16.24
2025-10-15,A_L,long,4161.802,56.193,8.337,549.0438833333334,79.34956666666666,False,36.663
