tag,sl,tp,n,pf,exp,net,mdd,wr,pf_dev,pf_val,pf_hold,exp_dev,exp_val,exp_hold,n_dev,n_val,n_hold,minPF,minEXP
W1030,11,20,127,1.127011708954397,0.8753937007874014,111.17499999999998,151.57600000000002,38.582677165354326,1.2035505836575877,0.6980986779676175,1.4263724987172908,1.3696363636363633,-2.4306799999999997,2.6592,77,25,25,0.6980986779676175,-2.4306799999999997
W1030,11,22,127,1.1891442922785838,1.3224015748031492,167.94499999999996,138.99300000000002,37.79527559055118,1.2355822949621174,0.7715681062792813,1.5701385325808104,1.6237402597402593,-1.83916,3.5558399999999994,77,25,25,0.7715681062792813,-1.83916
W1030,11,25,127,1.2775118180301432,1.9645433070866145,249.49700000000004,121.18400000000005,37.00787401574803,1.3583553631959664,0.876048906752252,1.5043998802753666,2.4699480519480517,-0.9979599999999991,3.3704,77,25,25,0.876048906752252,-0.9979599999999991
W1030,11,27,127,1.2680459934822301,1.944228346456693,246.917,149.91000000000005,35.43307086614173,1.277966800701103,0.9442669700567863,1.6253397186471117,1.995740259740259,-0.44871999999999973,4.17852,77,25,25,0.9442669700567863,-0.44871999999999973
W1030,11,30,127,1.2672517112872501,1.989322834645669,252.64399999999998,168.40799999999996,33.07086614173229,1.3999996382336395,0.9008640291041383,1.271113097428887,2.87190909090909,-0.8022400000000001,2.0625199999999997,77,25,25,0.9008640291041383,-0.8022400000000001
W1030,11,32,127,1.2590665240534467,1.9529291338582675,248.02199999999996,162.64400000000003,32.28346456692913,1.3474126790234926,0.9581232576072128,1.3167937325832064,2.5486103896103893,-0.33887999999999946,2.4100399999999995,77,25,25,0.9581232576072128,-0.33887999999999946
W1030,11,35,127,1.1539706227321957,1.214543307086614,154.24699999999999,173.00200000000004,29.133858267716533,1.1813931876643207,0.8322613310330602,1.4285188495714811,1.409441558441558,-1.4311999999999996,3.26,77,25,25,0.8322613310330602,-1.4311999999999996
W1030,11,40,127,1.1712751200777973,1.3659999999999999,173.48199999999997,154.34400000000005,28.346456692913385,1.2655102733257895,0.9288728036454329,1.148052464228935,2.0630389610389606,-0.6068799999999993,1.192,77,25,25,0.9288728036454329,-0.6068799999999993
W1030,11,45,127,1.1224901825078484,1.0089448818897633,128.13599999999994,210.39,25.984251968503933,1.2929515707665444,0.781451641652704,0.9936881771078662,2.318441558441558,-1.96176,-0.05359999999999964,77,25,25,0.781451641652704,-1.96176
W1030,11,50,127,1.1711876202093126,1.4100629921259837,179.07799999999995,212.805,25.984251968503933,1.3480350649180153,0.7706899932266228,1.0869053226566179,2.7543766233766234,-2.0583599999999995,0.7380000000000004,77,25,25,0.7706899932266228,-2.0583599999999995
W1030,11,60,127,1.1840175405241538,1.5318503937007868,194.54499999999993,264.0079999999999,25.196850393700785,1.4511555931891875,0.5641142129285638,1.104945831370702,3.57048051948052,-4.1064799999999995,0.8911999999999998,77,25,25,0.5641142129285638,-4.1064799999999995
W1030,11,75,127,1.125716601949382,1.0574409448818896,134.295,288.885,24.409448818897637,1.4636023539234475,0.6307440823691751,0.6874234573716439,3.7353766233766246,-3.47876,-2.6544,77,25,25,0.6307440823691751,-3.47876
W1030,11,100,127,1.1934104448829659,1.6268346456692915,206.608,263.9349999999998,24.409448818897637,1.5399436824943467,0.7366776350705869,0.6874234573716439,4.350480519480519,-2.4807599999999996,-2.6544,77,25,25,0.6874234573716439,-2.6544
