date,split,kind,hhmm,signal_mel,entry_mel,entry,spread,pnl,why
2025-11-27,DEV,A_LONG,1005,2025-11-27 10:05:00,2025-11-27 10:10:00,4169.452,1.427,-15.017,SL
2025-11-28,DEV,A_LONG,1005,2025-11-28 10:05:00,2025-11-28 10:10:00,4162.102,1.154,27.053,TP
2025-12-04,DEV,A_LONG,1005,2025-12-04 10:05:00,2025-12-04 10:10:00,4207.865,1.416,-15.43,SL
2025-12-05,DEV,FLIP_SHORT,1005,2025-12-05 10:05:00,2025-12-05 10:10:00,4207.298,1.054,-15.243,SL
2025-12-09,DEV,A_LONG,1005,2025-12-09 10:05:00,2025-12-09 10:10:00,4192.202,0.617,-15.117,SL
2025-12-12,DEV,FLIP_SHORT,1020,2025-12-12 10:20:00,2025-12-12 10:25:00,4278.325,0.68,-15.0,SL
2025-12-16,DEV,FLIP_SHORT,1005,2025-12-16 10:05:00,2025-12-16 10:10:00,4305.298,1.304,27.053,TP
2025-12-17,DEV,A_LONG,1005,2025-12-17 10:05:00,2025-12-17 10:10:00,4304.571,1.646,27.114,TP
2025-12-19,DEV,FLIP_SHORT,1025,2025-12-19 10:25:00,2025-12-19 10:30:00,4333.635,0.89,5.99,EOD
2025-12-22,DEV,A_LONG,1005,2025-12-22 10:05:00,2025-12-22 10:10:00,4343.302,1.204,27.263,TP
2025-12-23,DEV,A_LONG,1005,2025-12-23 10:05:00,2025-12-23 10:10:00,4453.305,1.68,27.17,TP
2025-12-24,DEV,A_LONG,1005,2025-12-24 10:05:00,2025-12-24 10:10:00,4493.552,1.304,27.056,TP
2025-12-29,DEV,FLIP_SHORT,1010,2025-12-29 10:10:00,2025-12-29 10:15:00,4533.475,1.167,27.353,TP
2025-12-30,DEV,A_LONG,1005,2025-12-30 10:05:00,2025-12-30 10:10:00,4346.202,1.654,-15.077,SL
2025-12-31,DEV,A_LONG,1005,2025-12-31 10:05:00,2025-12-31 10:10:00,4344.502,1.087,-15.524,SL
2026-01-02,DEV,A_LONG,1005,2026-01-02 10:05:00,2026-01-02 10:10:00,4334.512,1.834,27.136,TP
2026-01-06,DEV,A_LONG,1005,2026-01-06 10:05:00,2026-01-06 10:10:00,4458.322,1.374,-15.397,SL
2026-01-07,DEV,A_LONG,1015,2026-01-07 10:15:00,2026-01-07 10:20:00,4499.155,0.77,-15.09,SL
2026-01-08,DEV,A_LONG,1015,2026-01-08 10:15:00,2026-01-08 10:20:00,4462.425,0.72,-15.05,SL
2026-01-12,DEV,A_LONG,1005,2026-01-12 10:05:00,2026-01-12 10:10:00,4530.075,1.527,27.0,TP
2026-01-14,DEV,A_LONG,1005,2026-01-14 10:05:00,2026-01-14 10:10:00,4593.552,1.254,27.103,TP
2026-01-16,DEV,A_LONG,1005,2026-01-16 10:05:00,2026-01-16 10:10:00,4619.702,1.054,-15.787,SL
2026-01-23,DEV,A_LONG,1005,2026-01-23 10:05:00,2026-01-23 10:10:00,4956.702,1.504,-15.037,SL
2026-01-28,DEV,FLIP_SHORT,1005,2026-01-28 10:05:00,2026-01-28 10:10:00,5178.718,1.637,-15.007,SL
2026-01-29,DEV,A_LONG,1005,2026-01-29 10:05:00,2026-01-29 10:10:00,5453.102,1.197,27.183,TP
2026-02-20,DEV,A_LONG,1005,2026-02-20 10:05:00,2026-02-20 10:10:00,5006.002,1.904,-15.017,SL
2026-02-23,DEV,A_LONG,1005,2026-02-23 10:05:00,2026-02-23 10:10:00,5136.052,1.817,27.493,TP
2026-02-24,DEV,A_LONG,1010,2026-02-24 10:10:00,2026-02-24 10:15:00,5245.355,1.08,-15.19,SL
2026-02-26,DEV,A_LONG,1005,2026-02-26 10:05:00,2026-02-26 10:10:00,5180.802,1.924,-15.307,SL
2026-03-03,DEV,A_LONG,1055,2026-03-03 10:55:00,2026-03-03 11:00:00,5346.545,0.85,27.07,TP
2026-03-04,DEV,A_LONG,1010,2026-03-04 10:10:00,2026-03-04 10:15:00,5118.152,1.347,27.133,TP
2026-03-05,DEV,FLIP_SHORT,1010,2026-03-05 10:10:00,2026-03-05 10:15:00,5146.425,0.98,-15.02,SL
2026-03-06,DEV,A_LONG,1015,2026-03-06 10:15:00,2026-03-06 10:20:00,5096.325,0.85,-15.04,SL
2026-03-11,DEV,A_LONG,1005,2026-03-11 10:05:00,2026-03-11 10:10:00,5196.822,1.524,-15.387,SL
2026-03-12,DEV,A_LONG,1005,2026-03-12 10:05:00,2026-03-12 10:10:00,5148.642,1.184,-15.247,SL
2026-03-17,DEV,A_LONG,1005,2026-03-17 10:05:00,2026-03-17 10:10:00,5006.472,1.274,27.013,TP
2026-03-18,DEV,FLIP_SHORT,1010,2026-03-18 10:10:00,2026-03-18 10:15:00,4998.955,0.71,-15.607,SL
2026-03-20,VAL,A_LONG,1015,2026-03-20 10:15:00,2026-03-20 10:20:00,4645.835,0.67,27.08,TP
2026-03-23,VAL,FLIP_SHORT,1005,2026-03-23 10:05:00,2026-03-23 10:10:00,4494.708,1.397,27.123,TP
2026-03-30,VAL,FLIP_SHORT,1005,2026-03-30 10:05:00,2026-03-30 10:10:00,4477.028,1.854,27.424,TP
2026-04-02,VAL,A_LONG,1005,2026-04-02 10:05:00,2026-04-02 10:10:00,4788.112,1.274,-16.017,SL
2026-04-06,VAL,A_LONG,1010,2026-04-06 10:10:00,2026-04-06 10:15:00,4626.745,1.0,-15.01,SL
2026-04-08,VAL,FLIP_SHORT,1015,2026-04-08 10:15:00,2026-04-08 10:20:00,4832.905,0.81,27.133,TP
2026-04-15,VAL,FLIP_SHORT,1005,2026-04-15 10:05:00,2026-04-15 10:10:00,4834.355,0.71,-18.32,SL
2026-04-16,VAL,A_LONG,1005,2026-04-16 10:05:00,2026-04-16 10:10:00,4831.015,0.71,-15.02,SL
2026-04-21,VAL,A_LONG,1005,2026-04-21 10:05:00,2026-04-21 10:10:00,4828.945,0.71,-15.0,SL
2026-04-22,VAL,A_LONG,1005,2026-04-22 10:05:00,2026-04-22 10:10:00,4745.062,0.727,27.103,TP
2026-04-28,VAL,A_LONG,1005,2026-04-28 10:05:00,2026-04-28 10:10:00,4700.635,0.7,-15.03,SL
