date,kind,split,hhmm,entry,spread,pnl,why,q90,mic,ny
2025-12-30,A_LONG,DEV,1005,4346.202,1.654,-15.077,SL,1,1,1805
2025-12-31,A_LONG,DEV,1005,4344.502,1.087,-15.524,SL,1,1,1805
2026-01-02,A_LONG,DEV,1005,4334.512,1.834,25.136,TP,1,1,1805
2026-01-06,A_LONG,DEV,1005,4458.322,1.374,-15.397,SL,1,1,1805
2026-01-07,A_LONG,DEV,1015,4499.155,0.77,-15.09,SL,1,1,1815
2026-01-08,A_LONG,DEV,1015,4462.425,0.72,-15.05,SL,1,1,1815
2026-01-12,A_LONG,DEV,1005,4530.075,1.527,25.033,TP,1,1,1805
2026-01-14,A_LONG,DEV,1005,4593.552,1.254,25.033,TP,1,1,1805
2026-01-16,A_LONG,DEV,1005,4619.702,1.054,-15.787,SL,1,1,1805
2026-01-19,A_LONG,DEV,1005,4655.752,2.004,25.203,TP,1,1,1805
2026-01-23,A_LONG,DEV,1005,4956.702,1.504,-15.037,SL,1,1,1805
2026-01-26,A_LONG,DEV,1005,5024.452,2.204,25.033,TP,1,1,1805
2026-01-27,A_LONG,DEV,1005,5038.652,2.104,-15.027,SL,1,1,1805
2026-01-28,FLIP_SHORT,DEV,1005,5178.718,1.637,-15.007,SL,1,1,1805
2026-01-29,A_LONG,DEV,1005,5453.102,1.197,25.533,TP,1,1,1805
2026-01-30,A_LONG,DEV,1005,5439.602,2.404,-15.204,SL,1,1,1805
2026-02-03,A_LONG,DEV,1005,4718.202,2.904,25.783,TP,1,1,1805
2026-02-04,FLIP_SHORT,DEV,1005,4924.698,3.204,-16.932,SL,1,1,1805
2026-02-05,A_LONG,DEV,1005,4996.452,2.704,25.153,TP,1,1,1805
2026-02-09,FLIP_SHORT,DEV,1005,4974.648,2.354,-15.097,SL,1,1,1805
2026-02-10,FLIP_SHORT,DEV,1005,5046.048,2.364,26.197,TP,1,1,1805
2026-02-11,A_LONG,DEV,1005,5035.882,2.584,25.423,TP,1,1,1805
2026-02-12,FLIP_SHORT,DEV,1005,5081.748,2.254,25.986,TP,1,1,1805
2026-02-20,A_LONG,DEV,1005,5006.002,1.904,-15.017,SL,1,1,1805
2026-02-23,A_LONG,DEV,1005,5136.052,1.817,25.096,TP,1,1,1805
2026-02-24,A_LONG,DEV,1010,5245.355,1.08,-15.19,SL,1,1,1810
2026-02-26,A_LONG,DEV,1005,5180.802,1.924,-15.307,SL,1,1,1805
2026-03-03,A_LONG,DEV,1055,5346.545,0.85,25.11,TP,1,3,1855
2026-03-04,A_LONG,DEV,1010,5118.152,1.347,25.093,TP,1,1,1810
2026-03-05,FLIP_SHORT,DEV,1010,5146.425,0.98,-15.02,SL,1,1,1810
2026-03-06,A_LONG,VAL,1015,5096.325,0.85,-15.04,SL,1,1,1815
2026-03-11,A_LONG,VAL,1005,5196.822,1.524,25.363,TP,1,3,1905
2026-03-12,A_LONG,VAL,1005,5148.642,1.184,-15.247,SL,1,3,1905
2026-03-17,A_LONG,VAL,1005,5006.472,1.274,25.003,TP,1,3,1905
2026-03-18,FLIP_SHORT,VAL,1010,4998.955,0.71,-15.607,SL,1,4,1910
2026-03-20,A_LONG,VAL,1015,4645.835,0.67,25.6,TP,1,4,1915
2026-03-23,FLIP_SHORT,VAL,1005,4494.708,1.397,25.523,TP,1,3,1905
2026-03-30,FLIP_SHORT,VAL,1005,4477.028,1.854,25.353,TP,1,3,1905
2026-04-02,A_LONG,VAL,1005,4788.112,1.274,-16.017,SL,1,3,1905
2026-04-06,A_LONG,VAL,1010,4626.745,1.0,-15.01,SL,2,2,2010
