kind,sl,tp,n,pf,exp,net,mdd,pf_dev,pf_val,pf_hold,n_dev,n_val,n_hold,minPF,minEXP
A_LONG,40,60,91,1.2456572845948413,3.377120879120879,307.318,292.8440000000001,1.8491387949124236,0.8072609353700912,0.6417910034678688,58,15,18,0.6417910034678688,-7.19038888888889
A_LONG,40,75,91,1.2446444972554025,3.3631978021978037,306.05100000000016,327.8540000000001,1.8293589139651407,0.9052306062874497,0.587295920203035,58,15,18,0.587295920203035,-8.28427777777778
FLIP_SHORT,5,6,40,0.8868661707500172,-0.33154999999999996,-13.261999999999999,35.275,0.9036195976766318,0.9980240355025752,0.7116149092769708,21,11,8,0.7116149092769708,-0.9158750000000002
FLIP_SHORT,5,8,40,0.7765198308311654,-0.76885,-30.754,50.122,0.8100805659265081,0.9094454193476503,0.5414054550825482,21,11,8,0.5414054550825482,-1.7465000000000002
FLIP_SHORT,5,10,40,0.7789994651356456,-0.8160499999999999,-32.641999999999996,48.662000000000006,0.8305560290010883,0.7448548619418471,0.695834837693242,21,11,8,0.695834837693242,-1.158375
FLIP_SHORT,5,12,40,0.7983790254528327,-0.7705499999999998,-30.821999999999992,50.552,0.7500828800510788,0.8996362393496251,0.7913480158860406,21,11,8,0.7500828800510788,-0.9692380952380949
FLIP_SHORT,5,15,40,0.6282365394450458,-1.562875,-62.515,87.335,0.4957787958115184,0.6561474430027601,0.984671940131946,21,11,8,0.4957787958115184,-2.201285714285714
FLIP_SHORT,5,18,40,0.7556762092793682,-1.0271250000000003,-41.08500000000001,71.925,0.599727312390925,0.7839429701593097,1.1822627761184232,21,11,8,0.599727312390925,-1.7474761904761902
FLIP_SHORT,5,20,40,0.8388896157185505,-0.6773,-27.092000000000002,62.572,0.655824607329843,0.8754428288887439,1.3345587028588308,21,11,8,0.655824607329843,-1.5025714285714287
FLIP_SHORT,5,22,40,0.7767931880502236,-0.9666250000000002,-38.665000000000006,77.675,0.47836108613186973,0.9582491143422225,1.4504217678143565,21,11,8,0.47836108613186973,-2.4031904761904763
FLIP_SHORT,5,25,40,0.7606292394284889,-1.0366249999999997,-41.46499999999999,86.815,0.3204233723009499,1.0916954641281433,1.6585157711622411,21,11,8,0.3204233723009499,-3.130809523809524
FLIP_SHORT,5,27,40,0.8183749458796362,-0.7865499999999999,-31.461999999999993,80.60199999999999,0.3423361964712084,1.1806524526743605,1.7829126595989104,21,11,8,0.3423361964712084,-3.029857142857143
FLIP_SHORT,5,30,40,0.9067975176793187,-0.4036249999999999,-16.144999999999996,71.765,0.37241464851623307,1.3094694746908346,1.9956017986674106,21,11,8,0.37241464851623307,-2.891285714285714
FLIP_SHORT,5,32,40,0.7524375811805455,-1.0721,-42.884,98.65100000000001,0.08765129668103404,1.4003173154245725,1.885023139790593,21,11,8,0.08765129668103404,-4.203190476190477
FLIP_SHORT,5,35,40,0.7999076345793042,-0.866525,-34.661,98.65100000000001,0.08765129668103404,1.5229836343483079,1.9696721042439362,21,11,8,0.08765129668103404,-4.203190476190477
FLIP_SHORT,5,40,40,0.8875162361091065,-0.48712500000000025,-19.48500000000001,98.65100000000001,0.08765129668103404,1.742192084501532,2.136738110086323,21,11,8,0.08765129668103404,-4.203190476190477
FLIP_SHORT,5,50,40,0.35975227130112125,-2.933375,-117.335,132.125,0.08765129668103404,0.6360839489721933,0.704201538591597,21,11,8,0.08765129668103404,-4.203190476190477
FLIP_SHORT,5,60,40,0.35975227130112125,-2.933375,-117.335,132.125,0.08765129668103404,0.6360839489721933,0.704201538591597,21,11,8,0.08765129668103404,-4.203190476190477
FLIP_SHORT,5,75,40,0.35975227130112125,-2.933375,-117.335,132.125,0.08765129668103404,0.6360839489721933,0.704201538591597,21,11,8,0.08765129668103404,-4.203190476190477
FLIP_SHORT,6,6,40,0.8183427156380836,-0.6106999999999999,-24.427999999999997,42.837999999999994,0.7506474388681406,1.1994993009721364,0.5957166392092258,21,11,8,0.5957166392092258,-1.53375
FLIP_SHORT,6,8,40,0.723784747374853,-1.09625,-43.85,62.38799999999999,0.6748240301194959,1.105577743364034,0.4529104887424492,21,11,8,0.4529104887424492,-2.4906249999999996
FLIP_SHORT,6,10,40,0.7321326238231683,-1.1452,-45.808,60.99799999999998,0.6911076443057723,0.9470263470543014,0.5820977484898409,21,11,8,0.5820977484898409,-1.9024999999999996
FLIP_SHORT,6,12,40,0.8559265540026901,-0.6159499999999999,-24.637999999999995,48.974999999999994,0.7974755353850518,1.1452698767675356,0.6619989017023614,21,11,8,0.6619989017023614,-1.5387499999999996
FLIP_SHORT,6,15,40,0.7171224249961795,-1.3419500000000002,-53.678000000000004,77.668,0.5807987711213518,0.9269170547207027,0.8237232289950578,21,11,8,0.5807987711213518,-2.0792380952380958
FLIP_SHORT,6,18,40,0.8621500129112498,-0.6539499999999998,-26.157999999999994,56.167999999999985,0.7036866359447006,1.1038290257640768,0.9890170236133993,21,11,8,0.7036866359447006,-1.4697142857142858
FLIP_SHORT,6,20,40,0.9546894185721742,-0.21494999999999997,-8.597999999999999,55.08,0.769546850998464,1.2270573642149787,1.1164195496979683,21,11,8,0.769546850998464,-1.1430476190476189
FLIP_SHORT,6,22,40,0.9147529930944306,-0.41724999999999984,-16.689999999999994,55.08,0.6199551671249784,1.3541492974357932,1.21334431630972,21,11,8,0.6199551671249784,-1.994095238095238
FLIP_SHORT,6,25,40,0.9315521186613819,-0.3350249999999998,-13.400999999999993,57.920999999999985,0.5091344713986223,1.540415234764219,1.3874244920373424,21,11,8,0.5091344713986223,-2.575571428571428
FLIP_SHORT,6,27,40,1.0012360560617826,0.006050000000000333,0.24200000000001332,55.08,0.5468884714167733,1.6561807348963946,1.4914881933003847,21,11,8,0.5468884714167733,-2.3774761904761905
FLIP_SHORT,6,30,40,1.1152034895599232,0.563875,22.555,55.08,0.6006153175964496,1.8577587083392644,1.669412410763317,21,11,8,0.6006153175964496,-2.0955714285714286
FLIP_SHORT,6,32,40,0.9986771135537125,-0.006474999999999831,-0.25899999999999324,69.44599999999998,0.36974416219699247,1.9796449559753546,1.576908292147172,21,11,8,0.36974416219699247,-3.3069523809523815
