branch,sl,tp,pf,wr,total_pnl
ashort,30,15,2.7439024390243905,0.4726890756302521,2145
ashort,30,20,2.959349593495935,0.38235294117647056,2410
ashort,30,25,3.1504065040650406,0.32563025210084034,2645
ashort,30,30,3.048780487804878,0.26260504201680673,2520
ashort,30,39,2.346341463414634,0.15546218487394958,1656
ashort,30,45,0.32926829268292684,0.018907563025210083,-825
ashort,30,50,0.2032520325203252,0.01050420168067227,-980
ashort,30,60,0.04878048780487805,0.0021008403361344537,-1170
ashort,30,75,0.0,0.0,-1230
ashort,30,100,0.0,0.0,-1230
ashort,40,10,8.13888888888889,0.615546218487395,2570
ashort,40,15,9.625,0.4852941176470588,3105
ashort,40,20,10.333333333333334,0.3907563025210084,3360
ashort,40,25,10.833333333333334,0.3277310924369748,3540
ashort,40,30,10.416666666666666,0.26260504201680673,3390
ashort,40,39,8.016666666666667,0.15546218487394958,2526
ashort,40,45,1.125,0.018907563025210083,45
ashort,40,50,0.6944444444444444,0.01050420168067227,-110
ashort,40,60,0.16666666666666666,0.0021008403361344537,-300
ashort,40,75,0.0,0.0,-360
ashort,40,100,0.0,0.0,-360
ashort,50,10,14.85,0.6239495798319328,2770
ashort,50,15,17.55,0.49159663865546216,3310
ashort,50,20,18.8,0.3949579831932773,3560
ashort,50,25,19.625,0.32983193277310924,3725
ashort,50,30,18.75,0.26260504201680673,3550
ashort,50,39,14.43,0.15546218487394958,2686
ashort,50,45,2.025,0.018907563025210083,205
ashort,50,50,1.25,0.01050420168067227,50
ashort,50,60,0.3,0.0021008403361344537,-140
ashort,50,75,0.0,0.0,-200
ashort,50,100,0.0,0.0,-200
flipshort,5,10,0.37410071942446044,0.15294117647058825,-435
flipshort,5,15,0.4748201438848921,0.12941176470588237,-365
flipshort,5,20,0.4892086330935252,0.1,-355
flipshort,5,25,0.539568345323741,0.08823529411764706,-320
flipshort,5,30,0.4316546762589928,0.058823529411764705,-395
flipshort,5,39,0.39280575539568346,0.041176470588235294,-422
flipshort,5,45,0.0,0.0,-695
flipshort,5,50,0.0,0.0,-695
flipshort,5,60,0.0,0.0,-695
flipshort,5,75,0.0,0.0,-695
flipshort,5,100,0.0,0.0,-695
flipshort,8,10,0.4411764705882353,0.24705882352941178,-532
flipshort,8,15,0.5672268907563025,0.21176470588235294,-412
