cell,horizon,n,mean_ret,med_ret,mfe,mae,mfe_mae,p_mfe_gt1,p_mae_gt1,winrate,low_conf,family,event,tol,src,cut
R100|retest|single,16,2838,-0.14200713472900015,-0.06307637631425313,2.1475992847294663,2.2901553697165116,0.9377526578012514,0.6691331923890064,0.6698379140239605,0.4901338971106413,False,R100,retest,0.75,real,single
R100|retest|single,32,2838,-0.20726483272789287,-0.12031708694772852,3.1176914033429344,3.23703772675078,0.9631310063452239,0.7572233967582804,0.7614517265680056,0.48484848484848486,False,R100,retest,0.75,real,single
R100|retest|single,64,2838,-0.6523974644870878,-0.6162455156429558,4.428229037517415,5.04574124952651,0.8776171465258861,0.8280479210711769,0.8393234672304439,0.45172656800563776,False,R100,retest,0.75,real,single
R100|touch|dual,4,1011,-0.1557319286497534,-0.04697093871433537,1.006501604939733,1.2094688079279177,0.8321848387839688,0.35311572700296734,0.39465875370919884,0.4826904055390702,False,R100,touch,0.75,real,dual
R100|touch|dual,8,1011,-0.13387451337383677,-0.05432314930164407,1.430586894956682,1.723078690522526,0.830250471336776,0.506429277942631,0.552917903066271,0.4846686449060336,False,R100,touch,0.75,real,dual
R100|touch|dual,16,1010,-0.09101219628181102,0.01260282452493395,2.111617813033212,2.4354976340155883,0.8670169839383621,0.6455445544554456,0.6821782178217822,0.502970297029703,False,R100,touch,0.75,real,dual
R100|touch|dual,32,1010,-0.14223722284973347,0.23378500333506216,3.010622171121001,3.465337080881579,0.8687819109231074,0.7544554455445545,0.7613861386138614,0.5326732673267327,False,R100,touch,0.75,real,dual
R100|touch|dual,64,1010,-0.18121722313182842,0.41691933671064496,4.294775421893372,4.522305943233863,0.9496870569579852,0.8237623762376237,0.807920792079208,0.5366336633663367,False,R100,touch,0.75,real,dual
R100|sweep|dual,4,142,-0.12631266092608492,-0.01251867385703245,1.2420822472882274,1.4801664882304806,0.8391503639385325,0.4647887323943662,0.5211267605633803,0.49295774647887325,False,R100,sweep,0.75,real,dual
R100|sweep|dual,8,142,-0.17550166193086944,-0.32402126197099823,1.6161700122110496,1.8889876922179372,0.8555746651337038,0.5563380281690141,0.6267605633802817,0.43661971830985913,False,R100,sweep,0.75,real,dual
R100|sweep|dual,16,142,-0.10819895209671475,-0.12415823459379136,2.2477474083818265,2.518211268815088,0.8925968349905269,0.6901408450704225,0.704225352112676,0.4788732394366197,False,R100,sweep,0.75,real,dual
R100|sweep|dual,32,142,-0.6627969055044199,-0.5527193273619581,3.049423508849141,3.6987811224214857,0.8244401082194264,0.7676056338028169,0.8169014084507042,0.4295774647887324,False,R100,sweep,0.75,real,dual
R100|sweep|dual,64,142,-0.7411041454182072,-0.13209306003439997,3.9694248655290156,5.153239640906962,0.7702775617146349,0.8169014084507042,0.8661971830985915,0.49295774647887325,False,R100,sweep,0.75,real,dual
R100|break|dual,4,133,-0.024830216526257186,0.04032804970324128,1.430413330519097,1.3678351205695483,1.0457498195568278,0.5488721804511278,0.48872180451127817,0.5112781954887218,False,R100,break,0.75,real,dual
R100|break|dual,8,133,-0.05610341582752031,-0.15750252148108781,1.8740435464816354,1.8622442179072174,1.0063360801236252,0.631578947368421,0.5864661654135338,0.48872180451127817,False,R100,break,0.75,real,dual
R100|break|dual,16,132,0.11124082117653049,0.061115371786627154,2.515744136955734,2.333024429181194,1.0783188146206715,0.7272727272727273,0.6742424242424242,0.5075757575757576,False,R100,break,0.75,real,dual
R100|break|dual,32,132,0.45638718707838016,0.08348260887775363,3.631748261766418,3.0002272951554816,1.210491041005681,0.7727272727272727,0.75,0.5075757575757576,False,R100,break,0.75,real,dual
R100|break|dual,64,132,0.20527344602144473,-0.17363917819548075,5.116029085706154,4.515239004567386,1.1330583122025302,0.8409090909090909,0.8409090909090909,0.49242424242424243,False,R100,break,0.75,real,dual
R100|retest|dual,4,1757,-0.09105678674017707,-0.036556056297571596,0.9772519596580904,1.0446285580742962,0.9355018605460967,0.3659647125782584,0.3830392714854866,0.48377916903813317,False,R100,retest,0.75,real,dual
R100|retest|dual,8,1756,-0.11206443425931328,-0.09107353071693897,1.3878625662696182,1.477940892049525,0.9390514693351565,0.5011389521640092,0.5318906605922551,0.4715261958997722,False,R100,retest,0.75,real,dual
R100|retest|dual,16,1756,-0.12370443242266826,-0.13304289564586658,1.938927012875635,2.0106575593490117,0.9643248318741056,0.6201594533029613,0.658883826879271,0.47209567198177677,False,R100,retest,0.75,real,dual
R100|retest|dual,32,1756,-0.49373172813466554,-0.5048623207417062,2.676630827739009,3.1854596547442298,0.8402651792348392,0.7220956719817767,0.7955580865603644,0.4379271070615034,False,R100,retest,0.75,real,dual
R100|retest|dual,64,1756,-0.7195904254264541,-0.6162262118940878,4.196115112113035,4.913942345143426,0.8539202980800461,0.8058086560364465,0.8650341685649203,0.4515945330296128,False,R100,retest,0.75,real,dual
