inst,tf,fam,n_ma,ent,side,trend,stop,n,wr,pf,net,maxdd,top10,yrs_pos,yrs,is_pf,oos_pf
AU200,4H,zrev,50,2.0,both,True,0.0,53,41.509433962264154,0.6123926720215255,-979.5999999999976,1118.2999999999984,-122.31523070641114,3,7,0.4288027199870478,0.7879256965944283
AU200,4H,zrev,50,2.0,both,True,4.0,55,41.81818181818181,0.6213902347195531,-1020.0811561169812,1122.1018107069385,-124.12737872934446,3,7,0.4776523073181257,0.770932647741389
AU200,4H,zrev,50,2.5,long,False,4.0,45,75.55555555555556,2.4879681059735947,3036.199566006945,605.6916847818038,79.65220821042922,7,7,2.255611908502572,2.7523829487009843
AU200,4H,zrev,50,2.5,both,False,0.0,65,81.53846153846153,4.356406261592104,4524.0999999999985,344.5,50.20225017130482,7,7,4.805795314426623,4.102519447347035
AU200,4H,zrev,50,2.5,both,False,4.0,86,73.25581395348837,2.1352744211842083,4338.742984115248,605.6916847818038,57.136364358893154,7,7,1.812847917509243,2.506642818673886
AU200,4H,rsi2,2,,long,True,0.0,120,60.83333333333333,1.0926085830239176,214.49999999999818,730.7999999999984,380.2331002331032,3,7,1.9168193994078657,0.7287945734022022
AU200,4H,rsi2,2,,long,True,4.0,128,63.28125,1.1181856693099248,299.3152265359704,662.5546849686843,282.6451596836256,2,7,1.8782124658979205,0.7847159912683732
AU200,4H,rsi2,2,,both,True,0.0,182,59.34065934065934,0.9499847125968202,-196.30000000000018,1250.2999999999975,-484.71726948548053,2,7,1.3407372078762703,0.7165764519148584
AU200,4H,rsi2,2,,both,True,4.0,195,61.02564102564103,0.969549346148544,-127.59729238511227,1272.2038026901018,-755.8154111054816,2,7,1.3614005626052712,0.7460795662129078
AU200,Daily,zrev,10,1.5,long,False,0.0,66,68.18181818181817,1.3428199404761896,921.4999999999982,961.6999999999989,195.26858383071124,5,7,1.4238529124633894,1.2745407183986834
AU200,Daily,zrev,10,1.5,long,False,4.0,76,68.42105263157895,0.9800278584164247,-89.49914376343986,1527.9991437634371,-2342.257044984526,4,7,1.021854819558612,0.9442814746012508
AU200,Daily,zrev,10,1.5,long,True,0.0,51,62.745098039215684,0.9314140971308887,-140.79999999999836,805.5000000000009,-837.3579545454648,2,6,0.8880606773898279,0.9571495109455055
AU200,Daily,zrev,10,1.5,long,True,4.0,54,62.96296296296296,0.8160422603276064,-466.9489320374423,1035.8489320374429,-268.35911039186624,2,6,0.8853830455446033,0.7760781168984019
AU200,Daily,zrev,10,1.5,both,False,0.0,133,63.90977443609023,1.1727243692111138,1081.599999999995,1560.1000000000004,223.65939349112526,5,7,1.2139894850275925,1.1332312404287896
AU200,Daily,zrev,10,1.5,both,False,4.0,150,64.66666666666666,0.9931815396246724,-58.57517830055258,2019.6297320873173,-4508.052858927598,4,7,1.0236421888523164,0.9624311681416546
AU200,Daily,zrev,10,1.5,both,True,0.0,79,59.49367088607595,0.86099429048879,-499.09999999999945,1377.499999999999,-294.8306952514531,2,7,0.837165092378067,0.8820260067114094
AU200,Daily,zrev,10,1.5,both,True,4.0,83,60.24096385542169,0.801955236795656,-830.8960147698672,1709.2960147698668,-181.51489153762822,2,7,0.847158519828042,0.7620859715817574
AU200,Daily,zrev,10,2.0,long,False,0.0,43,74.4186046511628,2.601549432168328,1819.2000000000035,615.6999999999989,105.27154793315725,7,7,3.6795058139534986,2.256883931683515
AU200,Daily,zrev,10,2.0,long,False,4.0,48,75.0,1.5589220675327684,1203.6248071617074,644.6559510963016,161.76137185069007,6,7,1.2883651757379466,1.7968107393588828
AU200,Daily,zrev,10,2.0,both,False,0.0,84,67.85714285714286,1.9378317458009175,2579.600000000004,540.6000000000004,90.31245154287471,6,7,1.9009126466753596,1.9614742366412228
AU200,Daily,zrev,10,2.0,both,False,4.0,91,68.13186813186813,1.5038429763483558,1951.8248071617081,969.5559510963021,119.36009786594462,6,7,1.231744239901982,1.7839003010218273
AU200,Daily,zrev,10,2.0,both,True,0.0,46,56.52173913043478,1.0153116608581407,26.80000000000382,673.6999999999998,4756.343283581421,3,7,0.8887613482208101,1.1684343434343454
AU200,Daily,zrev,10,2.0,both,True,4.0,48,58.333333333333336,0.9968038460846292,-6.528875894731755,704.6728879267948,-21192.009502224562,3,7,0.8864438203884751,1.1312015920972085
AU200,Daily,zrev,20,1.5,long,False,0.0,42,78.57142857142857,3.8290766208251408,3455.9999999999955,415.10000000000036,71.72743055555564,6,7,4.467331907816572,3.4935681278880937
AU200,Daily,zrev,20,1.5,long,False,4.0,50,70.0,1.826010369184304,2302.2307232595367,1066.3809421655978,111.66126722348483,5,7,1.2739756120357828,2.699766653165027
AU200,Daily,zrev,20,1.5,both,False,0.0,87,67.81609195402298,1.743299492385786,2928.5999999999976,829.1000000000013,91.70251997541493,5,7,1.738019545508063,1.7473007941465162
