tag,adds,spacing,taft,tto,short_risk,ddt,dds,cooldown,risk,n,wr,pf,net,dd,mar,h1,h2,mc_med,mc_p95,mc_over30
   derisk at -8% to x0.8,,,15,2.0,,0.08,0.8,,0.669677734375,743,20.995962314939433,1.833158562657385,1517.0357537351067,24.986805516906315,2.0767298283552313,1.4071055286204017,1.9871445821099185,24.62754764940539,35.725944518527676,20.05
   derisk at -15% to x0.5,,,15,2.0,,0.15,0.5,,0.6648925781249999,743,21.130551816958278,1.8331562073824834,1464.3615038146704,23.876430685289467,2.1417466431927563,1.3874234028135697,1.998932575688577,24.640310753083654,35.65070811914761,20.200000000000003
   derisk at -8% to x0.65,,,15,2.0,,0.08,0.65,,0.67685546875,743,20.861372812920592,1.832092591450079,1487.15925141639,24.977018758075054,2.060535172398044,1.4036759705114903,1.9872061610026586,24.561250132826544,35.7863481217599,19.85
   derisk at -12% to x0.8,,,15,2.0,,0.12,0.8,,0.6684814453125,743,21.130551816958278,1.8288942575327667,1525.1177950653519,24.985197912594533,2.081417066253536,1.4002971801294313,1.984239212470912,24.832223605843488,36.02501677493918,21.55
   short_risk 0.9 w/ 15->2.0,,,15,2.0,0.9,,,,0.63857421875,743,21.399730820995963,1.82843673465309,1523.1333591431498,24.98518169612748,2.080302123148719,1.3842289731705062,1.9953968193831284,25.377882046969003,36.745794297059696,23.5
   derisk at -12% to x0.65,,,15,2.0,,0.12,0.65,,0.6720703125,743,20.995962314939433,1.8231649049323835,1478.2875598440833,24.962621429047978,2.0566177074202896,1.3899476184564263,1.9819832496867844,24.848998728374504,36.07840894317596,21.55
   cooldown 12 w/15->2.0,,,15,2.0,,,,12.0,0.6349853515625,788,21.19289340101523,1.8197217889030297,1225.9422841493529,24.978122448901484,1.898868921328489,1.3286546731669666,2.023987356362905,25.030212306465348,36.209681947426176,20.200000000000003
   derisk at -12% to x0.5,,,15,2.0,,0.12,0.5,,0.67685546875,743,20.861372812920592,1.817872621688147,1441.7319540369701,24.979919732743262,2.0339088118868798,1.3801282293774009,1.9797703245467797,24.979275344209828,36.381432656186036,21.9
   short_risk 1.0 w/ 15->2.0,,,15,2.0,1.0,,,,0.6230224609375,743,21.399730820995963,1.8175609191873963,1491.3232804431755,24.977270804972104,2.062901127153655,1.3754327249202478,1.9881919878043484,25.88799490253479,37.37416344939944,25.55
   tighten 15->2.5,,,15,2.5,,,,,0.7079589843749998,741,21.45748987854251,1.8147362904200985,1745.362273853442,24.982152122497826,2.1989266935660607,1.3954797060318649,1.9579860835832934,26.267364573958382,37.7325326255101,26.6
A  20->2.0 short0.75,,,20,2.0,,,,,0.7079589843749998,737,21.709633649932158,1.811146983925377,2010.385516892105,24.987766150577922,2.3246636260623785,1.4094726773941506,1.9465051710060923,26.258518104495103,37.7929985905558,26.700000000000003
   short_risk 1.15 w/ 15->2.0,,,15,2.0,1.15,,,,0.6014892578125001,743,21.399730820995963,1.8011723411276912,1445.8607295652416,24.99486666814844,2.0351164397380512,1.3628147385305243,1.9767399155896515,26.47934577948176,38.438914045595496,29.45
   short_risk 1.25 w/ 15->2.0,,,15,2.0,1.25,,,,0.5871337890625,743,21.399730820995963,1.7900511160962698,1410.5400402242726,24.981983791370823,2.0152387787034245,1.3550068089252227,1.968688556142995,26.955867739678308,39.24199329749201,32.0
   tighten 12->2.0,,,12,2.0,,,,,0.6756591796875,751,21.438082556591212,1.7883601110996765,1411.192575211167,24.997117992496417,2.014408813392082,1.3450888493128972,1.9494008642135845,25.31335924201126,36.68446317830314,22.95
   tighten 18->2.0,,,18,2.0,,,,,0.7079589843749998,738,21.680216802168022,1.7859510682569362,1685.4764463364043,24.98665682570461,2.167884102618192,1.3891112993425903,1.92740252776514,26.50686744190345,38.152262885421955,27.85
   tighten 15->1.0,,,15,1.0,,,,,0.5931152343749999,745,21.34228187919463,1.7742305558094105,998.0308351967988,24.995375226946525,1.7328292203594453,1.3604113071066795,1.9585698003961496,22.40324161002863,33.12162369409902,10.8
   short_risk 1.5 w/ 15->2.0,,,15,2.0,1.5,,,,0.550048828125,743,21.399730820995963,1.7617249740108352,1302.2011223913523,24.98194459642795,1.9483495764150263,1.3377967110634266,1.947442902577377,27.908386716471313,40.72910089975966,38.0
   tighten 18->1.0,,,18,1.0,,,,,0.7079589843749998,739,21.650879566982407,1.7588911430903875,1782.4332601844776,24.971561542842966,2.2184203250900865,1.432221301397882,1.8752090246646758,26.490939002421293,38.110360330911845,28.15
   tighten 18->1.5,,,18,1.5,,,,,0.7079589843749998,739,21.650879566982407,1.758695920017375,1737.5963329791516,24.977769089385912,2.1953851125716226,1.4136596755936495,1.8795550200014455,26.52828452608471,38.19238983707577,28.299999999999997
   tighten 18->2.5,,,18,2.5,,,,,0.7079589843749998,737,21.709633649932158,1.756687514144459,1533.4521136395272,24.99399323421762,2.0853586199856062,1.3720716005026383,1.8992117901147039,26.38078882392014,37.91307605354856,27.650000000000002
   tighten 15->1.5,,,15,1.5,,,,,0.5823486328125,745,21.34228187919463,1.750043588006072,909.9542643109432,24.974920044328584,1.662640863777052,1.3577046835621656,1.9283102563706338,22.170133042331358,32.81278187429191,9.85
   tighten 10->2.0,,,10,2.0,,,,,0.8048583984375001,759,21.34387351778656,1.736853521124433,1795.1444933799721,24.973178794994688,2.2245691439129884,1.2652908495852437,1.8762556005431412,29.377352213666246,41.81660392178107,46.0
   tighten 12->2.5,,,12,2.5,,,,,0.660107421875,746,21.447721179624665,1.726290565190966,1216.3573421271071,24.988840434814854,1.8916295266350862,1.338843347806104,1.8802984632015596,24.903407783466342,35.7989365666883,19.1
   tighten 12->1.0,,,12,1.0,,,,,0.566796875,754,21.485411140583555,1.6909000969546502,692.5006645203914,24.963023822438036,1.4606977251497315,1.3217082236025606,1.8759803115704938,21.654989675211546,31.634621467578288,8.15
   tighten 12->1.5,,,12,1.5,,,,,0.5823486328125,753,21.51394422310757,1.6780143953409714,701.4874147269581,24.97672218554771,1.4691569642774802,1.29920985816705,1.866702350675552,22.501066382622614,32.17372795563649,9.15
   tighten 10->2.5,,,10,2.5,,,,,0.7677734375,753,21.38114209827357,1.6761952714218464,1444.9945220926809,24.97988545996866,2.03582858382251,1.2584728520010502,1.8222606171743365,28.549331140679396,40.20126857444668,40.45
   cooldown 48 w/15->2.0,,,15,2.0,,,,48.0,0.5213378906250001,595,22.016806722689076,1.6633616395374864,356.782356954624,24.951828481773504,1.0270065675146207,1.3815133317168005,1.8441314416371246,19.006262624980934,27.814938419257956,2.65
   tighten 10->1.5,,,10,1.5,,,,,0.6230224609375,763,21.363040629095675,1.6168604521560404,667.1569591725109,24.975395917678124,1.4333681062197898,1.2353575276047515,1.7969134230839976,23.632673486312953,34.82866253493375,15.45
   tighten 10->1.0,,,10,1.0,,,,,0.6337890625,767,21.251629726205998,1.5902297136140173,637.4491426656808,24.960542523171174,1.4020462574811723,1.248215671443948,1.7575993555738774,24.201490659444232,35.02931469816644,16.400000000000002
   tighten 8->2.0,,,8,2.0,,,,,0.9388427734374999,770,21.298701298701296,1.5561663248825508,1476.0341379742563,24.97692424139765,2.0541399618752303,1.2106350030023643,1.6421934771367623,34.13931782360011,47.0866556691956,73.3
   tighten 8->1.5,,,8,1.5,,,,,0.7091552734374998,775,21.29032258064516,1.5403523040490505,639.6357367069762,24.99347422754717,1.40260110883708,1.1675005233946716,1.6888671431662974,26.775661549385077,38.084976223839895,29.549999999999997
   tighten 8->1.0,,,8,1.0,,,,,0.6912109375,779,21.18100128369705,1.538127691142342,589.3447100182798,24.992855363262592,1.3457893753966292,1.1866555342197662,1.686444719716443,25.831048428674904,37.622458078015036,23.25
   tighten 8->2.5,,,8,2.5,,,,,0.8658691406250001,762,21.25984251968504,1.5359174282453871,1186.235609197286,24.994136584381447,1.870779791872715,1.2145667091813093,1.6400892662553404,32.36270480496928,46.91024682508366,66.10000000000001
