arm,budget,risk,n,wr,pf,cagr,dd,mar,mc_med,p30,p30_sd,pf_pre2025,pf2021,pf2022,pf2026,top1,top5,top10,long_share,avg_bars
V1 tol0.0 | A trail 3.0ATR,25.0,1.3739065551757814,669,36.771300448430495,1.0447171788579002,2.3592832235981076,24.998508186881494,0.09437696065544392,29.792092968979915,48.62222222222223,0.9878271453730155,1.016636845793031,1.0267099129068151,0.7665097383253565,0.8997322541525046,12.971135595660305,41.50891787753353,61.30153055834174,58.744394618834086,22.71898355754858
V2 tol0.0 | C time 32 + 4ATR,25.0,1.252506713867187,350,49.142857142857146,1.052770132295461,1.203086553843269,24.999172621697326,0.048125054858778965,18.15184647717851,1.288888888888889,0.25724082006200494,0.9425875963100706,0.8839188500768989,0.7594362296380885,0.8987204425224002,7.341885380321618,29.613446756117007,48.92723484118937,71.71428571428572,27.05142857142857
V2 tol0.0 | C time 32 + 4ATR,20.0,0.9782916259765625,350,49.142857142857146,1.0555999118527168,1.0007228646638167,19.99857810239711,0.05003970079972165,14.39050837212289,0.022222222222222223,0.03142696805273544,0.9459333932446081,0.88652130650915,0.7608564695060623,0.9007248667818988,7.315737262308571,29.63931873201171,48.95704834449317,71.71428571428572,27.05142857142857
V2 tol0.0 | C time 64 + 4ATR,25.0,1.3270269775390626,289,44.982698961937714,1.1878240097129018,4.942761456144629,24.999410228850518,0.1977151225127881,18.308312121981782,2.3555555555555556,0.29979416807182313,1.0799142755053903,0.9543296381356329,0.6710753149505753,0.8234665612997956,7.437610667839752,30.307487640785883,48.47463168196589,79.58477508650519,48.54671280276817
V2 tol0.0 | C time 64 + 4ATR,20.0,1.034425354003906,289,44.982698961937714,1.1917016378778116,3.9405224150506957,19.998606841696752,0.19703984613742065,14.521813966589391,0.08888888888888889,0.03142696805273545,1.0848292217417872,0.9586461431777895,0.6735448303845527,0.8259408894856153,7.234940234549308,30.160972551058283,48.40403485594351,79.58477508650519,48.54671280276817
V2 tol0.25 | A trail 3.0ATR,25.0,1.0400265502929684,380,36.84210526315789,1.1122748495278565,2.68368324091941,24.9990734603076,0.10735130824670126,16.38192782654003,0.4000000000000001,5.551115123125783e-17,1.085958609782134,0.492440643659665,0.940595139913387,1.6861838633499642,10.96108484392508,41.626159285190106,61.67129986611561,65.26315789473685,22.91315789473684
V2 tol0.25 | A trail 3.0ATR,20.0,0.8146392822265623,380,36.84210526315789,1.117059359658378,2.164178453939125,19.998273527356535,0.10821826449061457,13.01090757372999,0.0,0.0,1.0912158091563862,0.49144928174300667,0.9434081693586489,1.6960822253263421,10.868105292601708,41.677372032406836,61.664524474332595,65.26315789473685,22.91315789473684
V2 tol0.25 | A trail 4.0ATR,25.0,1.6705264282226562,317,39.43217665615142,1.2704897468890293,7.808419930140875,24.99903708570782,0.31234882781165285,17.360691856833053,1.0666666666666667,0.33993463423951903,1.2042496142511996,0.5755823090053193,1.3941695990145198,1.3649496496446076,8.8257810867988,32.07952145727577,54.27499362383067,66.24605678233438,42.57728706624606
V2 tol0.25 | A trail 4.0ATR,20.0,1.3001168823242184,317,39.43217665615142,1.2767953080778658,6.15882081540613,19.99936123402912,0.30795087619732736,13.702022979065026,0.022222222222222223,0.03142696805273544,1.2126253273575947,0.575737548781527,1.4004694821645736,1.3744110396833855,8.663307775814177,32.09720334975306,54.34236924851507,66.24605678233438,42.57728706624606
V2 tol0.25 | A trail 5.0ATR,25.0,1.5278176879882812,266,41.35338345864661,1.5794685093795389,13.64535995628473,24.99951999524296,0.5458248781929109,13.2458877370757,0.0,0.0,1.595122474280855,0.3769258728639435,1.5199816308922194,1.146031674130444,14.372093155611749,44.17404632632332,60.405798450599946,67.29323308270678,67.0375939849624
V2 tol0.25 | A trail 5.0ATR,20.0,1.1877276611328127,266,41.35338345864661,1.6018032281274428,10.66482695448132,19.99941912104508,0.5332568356077346,10.420506240000696,0.0,0.0,1.6219077201380938,0.3754361978223112,1.5229399863829054,1.1514932100422326,14.653287837527646,44.64083475390765,60.60869493303655,67.29323308270678,67.0375939849624
