i,entry_bar,time,dir,entry,atr,hour,dow,mfe_3,mae_3,mfe_atr_3,mae_atr_3,bars_mfe_3,bars_mae_3,maxfclose_3,maxaclose_3,ret_3,mfe_5,mae_5,mfe_atr_5,mae_atr_5,bars_mfe_5,bars_mae_5,maxfclose_5,maxaclose_5,ret_5,mfe_10,mae_10,mfe_atr_10,mae_atr_10,bars_mfe_10,bars_mae_10,maxfclose_10,maxaclose_10,ret_10,mfe_15,mae_15,mfe_atr_15,mae_atr_15,bars_mfe_15,bars_mae_15,maxfclose_15,maxaclose_15,ret_15,mfe_20,mae_20,mfe_atr_20,mae_atr_20,bars_mfe_20,bars_mae_20,maxfclose_20,maxaclose_20,ret_20,mfe_30,mae_30,mfe_atr_30,mae_atr_30,bars_mfe_30,bars_mae_30,maxfclose_30,maxaclose_30,ret_30,mfe_50,mae_50,mfe_atr_50,mae_atr_50,bars_mfe_50,bars_mae_50,maxfclose_50,maxaclose_50,ret_50
9229,9230,2020-09-11 14:00:00,1,1951.576,4.130125947904526,14,4,1.0989999999999327,4.777000000000044,0.2660935801624948,1.15662332341795,0,0,-0.16699999999991633,2.4780000000000655,-2.0860000000000127,1.0989999999999327,4.777000000000044,0.2660935801624948,1.15662332341795,0,0,-0.16699999999991633,2.63799999999992,-2.63799999999992,1.0989999999999327,13.370000000000118,0.2660935801624948,3.2371894147159277,0,6,-0.16699999999991633,11.761999999999944,-10.521999999999935,1.0989999999999327,14.326000000000022,0.2660935801624948,3.468659353419599,0,14,-0.16699999999991633,11.761999999999944,-11.710000000000036,1.0989999999999327,14.326000000000022,0.2660935801624948,3.468659353419599,0,14,-0.16699999999991633,11.761999999999944,-11.302000000000135,1.0989999999999327,14.326000000000022,0.2660935801624948,3.468659353419599,0,14,-0.16699999999991633,11.761999999999944,-3.913000000000011,10.95900000000006,14.326000000000022,2.653429977252934,3.468659353419599,49,14,9.941000000000031,11.761999999999944,7.125999999999976
9273,9274,2020-09-14 13:00:00,1,1956.124,3.482362155449184,13,0,4.0219999999999345,2.3460000000000036,1.1549631601946764,0.6736806498798507,2,0,2.769999999999982,1.650000000000091,2.769999999999982,5.522999999999911,2.3460000000000036,1.5859924251007456,0.6736806498798507,4,0,5.393000000000029,1.650000000000091,5.393000000000029,6.411000000000058,2.883000000000038,1.8409917503750022,0.8278863229341995,5,8,5.393000000000029,1.650000000000091,-0.8040000000000873,6.411000000000058,2.883000000000038,1.8409917503750022,0.8278863229341995,5,8,5.393000000000029,1.650000000000091,1.9580000000000837,6.411000000000058,2.883000000000038,1.8409917503750022,0.8278863229341995,5,8,5.393000000000029,1.650000000000091,1.2980000000000018,10.985999999999876,2.883000000000038,3.1547551660613573,0.8278863229341995,27,8,9.751999999999953,1.650000000000091,9.751999999999953,16.09699999999998,7.655999999999949,4.622437093399798,2.198507696283075,42,49,14.67100000000005,3.867999999999938,-3.211999999999989
9275,9276,2020-09-14 14:00:00,1,1958.446,3.6530061442393555,14,0,3.201000000000022,1.8579999999999472,0.8762646088202919,0.5086221940606201,2,1,3.07100000000014,-0.06200000000012551,3.07100000000014,4.089000000000169,1.8579999999999472,1.1193520729354256,0.5086221940606201,3,1,3.07100000000014,0.5199999999999818,-0.5199999999999818,4.089000000000169,5.204999999999927,1.1193520729354256,1.4248538859448687,3,6,3.07100000000014,3.6340000000000146,-1.586999999999989,4.089000000000169,5.204999999999927,1.1193520729354256,1.4248538859448687,3,6,3.07100000000014,3.6340000000000146,-1.7519999999999527,4.089000000000169,5.204999999999927,1.1193520729354256,1.4248538859448687,3,6,3.07100000000014,3.6340000000000146,-2.140999999999849,10.746000000000095,5.204999999999927,2.941686812365784,1.4248538859448687,29,6,9.151000000000067,3.6340000000000146,9.151000000000067,13.775000000000091,9.977999999999838,3.7708669123709835,2.731449005563471,40,47,12.34900000000016,6.6440000000000055,-6.6440000000000055
9278,9279,2020-09-14 15:30:00,1,1961.47,3.525726129334503,15,0,1.0650000000000546,6.3559999999999945,0.3020654358655697,1.8027492116070056,0,2,-2.768000000000029,5.064000000000078,-5.064000000000078,1.0650000000000546,8.229000000000042,0.3020654358655697,2.333987297406252,0,3,-2.768000000000029,6.658000000000129,-6.150000000000091,1.0650000000000546,8.229000000000042,0.3020654358655697,2.333987297406252,0,3,-2.768000000000029,6.658000000000129,-3.38799999999992,1.0650000000000546,8.229000000000042,0.3020654358655697,2.333987297406252,0,3,-2.768000000000029,6.658000000000129,-4.048000000000002,4.447999999999865,8.229000000000042,1.2615840927041733,2.333987297406252,19,3,2.566000000000031,6.658000000000129,2.566000000000031,7.72199999999998,8.229000000000042,2.190187132163196,2.333987297406252,26,3,6.126999999999953,6.658000000000129,3.288000000000011,10.750999999999976,13.001999999999953,3.0493009398972455,3.68775098321495,37,44,9.325000000000045,9.66800000000012,-3.8859999999999673
9298,9299,2020-09-15 02:30:00,1,1964.077,2.7363620767471186,2,1,3.0329999999999018,2.1649999999999636,1.108405947361109,0.791196464238984,2,0,1.5289999999999964,0.9179999999998927,0.4329999999999927,3.0329999999999018,2.1649999999999636,1.108405947361109,0.791196464238984,2,0,1.7989999999999782,0.9179999999998927,1.7989999999999782,5.115000000000009,2.26299999999992,1.8692701683983735,0.8270104381398556,6,8,3.519999999999982,0.9179999999998927,0.68100000000004,5.115000000000009,3.7739999999998872,1.8692701683983735,1.3792034438974072,6,10,3.519999999999982,1.9809999999999945,0.30700000000001637,8.144000000000005,3.7739999999998872,2.9762143209064194,1.3792034438974072,17,10,6.718000000000075,1.9809999999999945,3.5950000000000273,8.144000000000005,15.608999999999924,2.9762143209064194,5.704288965499514,17,24,6.718000000000075,12.275000000000091,-6.492999999999938,8.144000000000005,15.608999999999924,2.9762143209064194,5.704288965499514,17,24,6.718000000000075,12.275000000000091,-3.5170000000000528
9304,9305,2020-09-15 05:30:00,1,1967.344,2.5610218980693724,5,1,1.8479999999999563,5.529999999999973,0.7215869576878948,2.159294305202453,0,2,0.25299999999992906,4.161000000000058,-4.161000000000058,1.8479999999999563,7.04099999999994,0.7215869576878948,2.7492931650868746,0,4,0.25299999999992906,5.248000000000047,-5.248000000000047,1.8479999999999563,7.04099999999994,0.7215869576878948,2.7492931650868746,0,4,0.25299999999992906,5.248000000000047,-0.6829999999999927,4.876999999999953,7.04099999999994,1.9043179613873984,2.7492931650868746,11,4,3.451000000000022,5.248000000000047,0.08799999999996544,4.876999999999953,18.875999999999976,1.9043179613873984,7.370495353526519,11,18,3.451000000000022,15.41800000000012,-15.41800000000012,4.876999999999953,18.875999999999976,1.9043179613873984,7.370495353526519,11,18,3.451000000000022,15.542000000000144,-13.094000000000051,4.876999999999953,18.875999999999976,1.9043179613873984,7.370495353526519,11,18,3.451000000000022,15.542000000000144,-3.4450000000001637
9315,9316,2020-09-15 11:00:00,1,1970.734,2.9376616233341757,11,1,1.48700000000008,3.6499999999998636,0.5061849153042924,1.2424848290924675,0,0,-2.520999999999958,3.1499999999998636,-3.061999999999898,1.48700000000008,6.8129999999998745,0.5061849153042924,2.3191915453718193,0,4,-2.520999999999958,6.403999999999996,-6.403999999999996,1.48700000000008,22.26599999999985,0.5061849153042924,7.579497864266774,0,7,-2.520999999999958,18.932000000000016,-18.932000000000016,1.48700000000008,22.26599999999985,0.5061849153042924,7.579497864266774,0,7,-2.520999999999958,18.932000000000016,-15.81399999999985,1.48700000000008,22.26599999999985,0.5061849153042924,7.579497864266774,0,7,-2.520999999999958,18.932000000000016,-16.53599999999983,1.48700000000008,22.26599999999985,0.5061849153042924,7.579497864266774,0,7,-2.520999999999958,18.932000000000016,-12.558999999999969,1.48700000000008,22.26599999999985,0.5061849153042924,7.579497864266774,0,7,-1.4919999999999618,18.932000000000016,-3.074999999999818
9348,9349,2020-09-16 04:30:00,1,1960.518,2.562267475358145,4,2,2.6140000000000327,1.55600000000004,1.0201901343787914,0.6072746170977125,2,2,0.7599999999999909,0.8489999999999327,-0.8489999999999327,2.6140000000000327,3.314000000000078,1.0201901343787914,1.2933856562093926,2,3,1.009999999999991,2.5399999999999636,1.009999999999991,8.298000000000002,3.314000000000078,3.2385377716431165,1.2933856562093926,7,3,7.139999999999873,2.5399999999999636,5.858999999999924,8.298000000000002,3.314000000000078,3.2385377716431165,1.2933856562093926,7,3,7.139999999999873,2.5399999999999636,2.816000000000031,13.263999999999896,3.8980000000001382,5.176664859372615,1.5213087772795029,17,19,9.461999999999989,2.5399999999999636,-2.326999999999998,13.263999999999896,7.629000000000133,5.176664859372615,2.97744090863651,17,28,9.461999999999989,3.4880000000000564,-3.4880000000000564,13.263999999999896,22.680000000000064,5.176664859372615,8.851534907310928,17,43,9.461999999999989,20.548999999999978,-17.261999999999944
9354,9355,2020-09-16 07:30:00,1,1963.939,2.882450645493437,7,2,4.876999999999953,0.41000000000008185,1.6919630549875644,0.14224007638815803,1,0,3.7189999999998236,-0.5869999999999891,1.5109999999999673,4.876999999999953,0.41000000000008185,1.6919630549875644,0.14224007638815803,1,0,3.7189999999998236,-0.5869999999999891,0.7329999999999472,5.486999999999853,2.189000000000078,1.9035885344918202,0.759423237106407,9,8,5.302999999999884,0.6050000000000182,5.302999999999884,9.842999999999847,7.319000000000187,3.4148026143618004,2.539158827035969,11,13,6.04099999999994,5.748000000000047,0.8309999999999036,9.842999999999847,7.319000000000187,3.4148026143618004,2.539158827035969,11,13,6.04099999999994,5.748000000000047,-1.6580000000001291,9.842999999999847,11.050000000000182,3.4148026143618004,3.833543522167947,11,22,6.04099999999994,6.9090000000001055,-4.939000000000078,9.842999999999847,26.101000000000113,3.4148026143618004,9.055142033674603,11,37,6.04099999999994,25.59699999999998,-25.59699999999998
9356,9357,2020-09-16 08:30:00,1,1967.618,3.027801832083631,8,2,0.1870000000001255,3.8099999999999454,0.06176097722731029,1.258338626929898,0,2,-1.2409999999999854,2.9459999999999127,-2.9459999999999127,0.1870000000001255,3.8559999999999945,0.06176097722731029,1.2735311667826112,0,4,-1.2409999999999854,2.9459999999999127,-1.72199999999998,6.163999999999987,5.867999999999938,2.0358003402614133,1.938039649035346,9,6,2.36200000000008,4.283999999999878,2.36200000000008,6.163999999999987,10.998000000000047,2.0358003402614133,3.632338115216607,9,11,2.36200000000008,9.426999999999907,-0.6169999999999618,6.163999999999987,12.417999999999893,2.0358003402614133,4.101325215017208,9,19,2.36200000000008,9.426999999999907,-2.3519999999998618,6.163999999999987,14.729000000000042,2.0358003402614133,4.864585206312541,9,20,2.36200000000008,12.079999999999927,-12.079999999999927,6.163999999999987,30.61999999999989,2.0358003402614133,10.11294718020837,9,48,2.36200000000008,29.27599999999984,-26.423999999999978
9364,9365,2020-09-16 12:30:00,1,1969.298,3.1616646991856467,12,2,4.483999999999924,6.587999999999965,1.4182402078104208,2.0837124195038275,1,2,0.6820000000000164,5.451999999999998,-5.451999999999998,4.483999999999924,12.678000000000111,1.4182402078104208,4.009912880156329,1,3,0.6820000000000164,11.106999999999971,-4.52800000000002,4.483999999999924,12.678000000000111,1.4182402078104208,4.009912880156329,1,3,0.6820000000000164,11.106999999999971,-7.017000000000053,4.483999999999924,16.409000000000106,1.4182402078104208,5.189987415245706,1,12,0.6820000000000164,12.268000000000029,-10.726000000000113,4.483999999999924,16.409000000000106,1.4182402078104208,5.189987415245706,1,12,0.6820000000000164,12.268000000000029,-10.298000000000002,4.483999999999924,31.460000000000036,1.4182402078104208,9.950454268001039,1,27,0.6820000000000164,29.32899999999995,-29.226000000000113,4.483999999999924,36.412000000000035,1.4182402078104208,11.516717762442903,1,48,0.6820000000000164,32.003999999999905,-26.942999999999984
9432,9433,2020-09-18 00:30:00,1,1950.567,3.611433983731253,0,4,5.076000000000022,1.5209999999999582,1.4055358682635013,0.42116234350447546,1,0,2.050999999999931,-0.33400000000006,2.050999999999931,5.076000000000022,1.5209999999999582,1.4055358682635013,0.42116234350447546,1,0,2.050999999999931,-0.33400000000006,1.4610000000000127,5.076000000000022,1.5209999999999582,1.4055358682635013,0.42116234350447546,1,0,2.050999999999931,-0.33400000000006,2.020999999999958,5.076000000000022,1.5209999999999582,1.4055358682635013,0.42116234350447546,1,0,3.844000000000051,-0.33400000000006,3.321999999999889,5.599999999999909,1.5209999999999582,1.5506305875247135,0.42116234350447546,16,0,4.93100000000004,-0.33400000000006,3.605000000000018,5.599999999999909,5.31899999999996,1.5506305875247135,1.4728221598292899,16,26,4.93100000000004,3.8309999999999036,3.4549999999999272,9.567000000000007,5.31899999999996,2.6490862197944973,1.4728221598292899,33,26,8.557000000000016,3.8309999999999036,2.981999999999971
9464,9465,2020-09-18 16:30:00,1,1959.172,3.8524010322712114,16,4,0.9619999999999891,7.143000000000029,0.24971439679862065,1.8541683329860446,1,2,-0.3769999999999527,4.5779999999999745,-4.5779999999999745,0.9619999999999891,8.708000000000084,0.24971439679862065,2.2604084899401604,1,4,-0.3769999999999527,7.61200000000008,-7.61200000000008,0.9619999999999891,12.44900000000007,0.24971439679862065,3.2314911910042423,1,9,-0.3769999999999527,10.850000000000136,-10.850000000000136,0.9619999999999891,12.44900000000007,0.24971439679862065,3.2314911910042423,1,9,-0.3769999999999527,10.850000000000136,-8.144000000000005,0.9619999999999891,12.44900000000007,0.24971439679862065,3.2314911910042423,1,9,-0.3769999999999527,10.850000000000136,-5.182000000000016,0.9619999999999891,16.28099999999995,0.24971439679862065,4.226195524197896,1,29,-0.3769999999999527,15.302000000000135,-15.302000000000135,0.9619999999999891,76.74399999999991,0.24971439679862065,19.92108281487894,1,42,-0.3769999999999527,66.82799999999997,-51.24000000000001
9506,9507,2020-09-21 14:30:00,-1,1892.397,6.480434862089359,14,0,9.968999999999824,12.876999999999953,1.538322691632721,1.9870580098460053,0,1,-0.4149999999999636,7.441000000000031,-7.441000000000031,9.968999999999824,14.269000000000005,1.538322691632721,2.2018584097610283,0,3,-0.4149999999999636,10.975000000000136,-10.429000000000087,9.968999999999824,19.375,1.538322691632721,2.9897684973803287,0,9,-0.4149999999999636,18.41300000000001,-18.41300000000001,9.968999999999824,22.759000000000015,1.538322691632721,3.5119556764840745,0,13,-0.4149999999999636,20.850000000000136,-20.850000000000136,9.968999999999824,27.660000000000082,1.538322691632721,4.268232084518201,0,17,-0.4149999999999636,26.499000000000024,-18.063000000000102,9.968999999999824,27.660000000000082,1.538322691632721,4.268232084518201,0,17,-0.4149999999999636,26.499000000000024,-14.15300000000002,9.968999999999824,27.660000000000082,1.538322691632721,4.268232084518201,0,17,-0.4149999999999636,26.499000000000024,-11.351000000000113
9576,9577,2020-09-23 03:30:00,-1,1895.619,4.436417948484292,3,2,13.214999999999918,1.0960000000000036,2.978754516245441,0.2470461558687124,2,0,8.176999999999907,-2.6079999999999472,8.176999999999907,13.214999999999918,1.0960000000000036,2.978754516245441,0.2470461558687124,2,0,10.355000000000018,-2.6079999999999472,10.355000000000018,22.39099999999985,1.0960000000000036,5.0470898504163175,0.2470461558687124,9,0,20.274999999999864,-2.6079999999999472,18.766999999999825,22.39099999999985,1.0960000000000036,5.0470898504163175,0.2470461558687124,9,0,20.274999999999864,-2.6079999999999472,3.4789999999998145,22.39099999999985,1.0960000000000036,5.0470898504163175,0.2470461558687124,9,0,20.274999999999864,-2.6079999999999472,11.187999999999874,34.590999999999894,1.0960000000000036,7.797056183991402,0.2470461558687124,29,0,33.1429999999998,-2.6079999999999472,31.500999999999976,44.929999999999836,1.0960000000000036,10.127539948158002,0.2470461558687124,48,0,43.91899999999987,-2.6079999999999472,41.17899999999986
9578,9579,2020-09-23 04:30:00,-1,1889.082,4.522411394356358,4,2,6.678000000000111,2.3239999999998417,1.4766458461372558,0.5138851372301125,0,0,3.818000000000211,-1.2600000000002183,3.818000000000211,14.416000000000167,2.3239999999998417,3.1876799218200915,0.5138851372301125,3,0,13.738000000000056,-1.2600000000002183,7.620000000000118,15.854000000000042,2.3239999999998417,3.5056518785054993,0.5138851372301125,7,0,13.738000000000056,-1.1660000000001673,1.1660000000001673,15.854000000000042,5.963999999999942,3.5056518785054993,1.3187654726508478,7,12,13.738000000000056,3.8259999999997945,5.484000000000151,22.37000000000012,5.963999999999942,4.9464761272971005,1.3187654726508478,19,12,19.162000000000035,3.8259999999997945,19.162000000000035,33.230999999999995,5.963999999999942,7.348070996254316,1.3187654726508478,29,12,30.448000000000093,3.8259999999997945,30.448000000000093,39.914000000000215,5.963999999999942,8.825822447247942,1.3187654726508478,48,12,37.38200000000006,3.8259999999997945,35.44400000000019
