arm,budget,risk,n,wr,pf,cagr,dd,mar,mc_med,p30,pf_pre2025,avg_r,avg_bars,long_share,pf_tr,pf_va,pf_te,top10_share,n_over_10R
C: G1 + open-vol cap 2%,25.0,0.9541485595703124,717,29.9860529986053,1.5070794305378548,26.576893617223575,24.681484867784434,1.076794761724937,23.134425624246408,11.75,1.2077768712058987,0.4415558692047177,39.85774058577406,65.69037656903765,1.144036003894695,1.150569346104444,1.8806525787860582,24.22700598207564,1
C: G1 + open-vol cap 3%,25.0,1.1122286987304684,716,28.631284916201118,1.56331640577423,40.23780950104585,24.99908403502629,1.6095713524810966,27.5669977468624,34.55,1.2847512382306645,0.5640300020158089,40.00837988826816,65.78212290502793,1.280940595012617,1.1756496648863148,1.8160554731369696,27.72800864946061,1
C: G1 + open-vol cap 4%,25.0,1.0174899291992185,713,26.367461430575034,1.6305989424339582,47.19512392470704,24.999826561198027,1.8878180538243454,29.783247166089083,48.449999999999996,1.2971351381376077,0.7409815217601484,40.3562412342216,65.77840112201963,1.2882752379390576,1.1452985414668246,1.8807260134511532,33.511750408591226,1
E  (baseline),20.0,0.5530877685546874,711,21.659634317862167,1.9056802851729902,43.321773047211146,19.998385505600837,2.1662635233768373,20.37409574567628,5.3,1.4720739854826483,1.0237152519275574,40.728551336146275,65.68213783403657,1.5206707343847254,1.2809642710876719,2.2980356599341367,33.99050861487014,0
G1 (baseline),20.0,0.5552133178710937,711,21.80028129395218,1.9696833266953009,46.89807530233925,19.998343270830464,2.3450980247321125,20.266655021593305,5.1499999999999995,1.4962050837624166,1.1562901547557878,40.728551336146275,65.68213783403657,1.5353628201507181,1.3047170547796592,2.363769423951852,35.36444523693775,0
A: VT ATR14,20.0,0.5530877685546874,711,21.659634317862167,1.9056802851729877,43.32177304721121,19.998385505601085,2.1662635233768137,20.374095745676158,5.3,1.4720739854826488,1.0237152519275587,40.728551336146275,65.68213783403657,1.5206707343847288,1.2809642710876705,2.298035659934131,33.99050861487009,0
A: VT ATR20,20.0,0.5615899658203126,711,21.659634317862167,1.8794400009187648,42.55834481768075,19.998769410068462,2.128048178617159,20.869526822116242,6.550000000000001,1.4476101776975454,0.9955288236018653,40.728551336146275,65.68213783403657,1.485196550424227,1.2746511213674838,2.2716614645301987,33.85056660356538,0
B: VT ATR20 x G1,20.0,0.4814263916015624,711,21.659634317862167,2.0915550495272917,45.741609904801095,19.998422906063173,2.2872608565014914,18.368951205940615,1.9,1.5114879738662474,1.2919473610912595,40.728551336146275,65.68213783403657,1.5846837240415388,1.3078968756438158,2.5893666147895003,35.482472252092634,0
A: VT ATR50,20.0,0.5577639770507814,711,21.659634317862167,1.824345277958744,39.28577318481086,19.999590788234027,1.9643288505644374,20.926928717648007,6.75,1.4068884675297928,0.8931694268328648,40.728551336146275,65.68213783403657,1.436358622001199,1.2662372895736518,2.221125079616114,32.27124536469946,0
A: VT EWMA094,20.0,0.5379660034179687,711,21.659634317862167,1.9490638365384338,42.610143875568404,19.99927123421399,2.130584828644786,19.640210210600163,4.2,1.472014544875718,1.0371349968032393,40.728551336146275,65.68213783403657,1.546224338815909,1.2773047556728843,2.3923223821943207,34.77701801725265,0
A: VT SD20d,20.0,0.5999105834960937,711,21.659634317862167,1.915344870614945,44.05793848015871,19.99884831783857,2.20302378316755,21.72711364134989,8.5,1.4100236619008557,1.0288708467787766,40.728551336146275,65.68213783403657,1.4096191661158626,1.3303682795215073,2.3158803017842704,36.43087810694575,0
B: VT SD20d x G1,20.0,0.5011636352539063,711,21.659634317862167,2.1269724363058753,46.84362854532813,19.998418988369828,2.3423665927076662,19.346907355902374,3.15,1.4602472700518516,1.413537282359713,40.728551336146275,65.68213783403657,1.4885159174810993,1.3535660430316792,2.6333243520579224,39.82634169719499,0
A: VT SD40d,20.0,0.5670556640624999,711,21.659634317862167,1.9183742519439142,41.22836451358416,19.998925413027315,2.061528990289047,21.10401812684723,6.8500000000000005,1.3900141213757997,1.0406997099677033,40.728551336146275,65.68213783403657,1.3602621668421881,1.3283998509781607,2.3626221289501084,34.847921925580145,0
C: G1 + open-vol cap 2%,20.0,0.8590454101562499,717,29.9860529986053,1.5922924914052439,31.639841400629187,19.72917206631032,1.6037085233119142,20.576248181296762,4.75,1.314107425140762,0.5344624810151625,39.90097629009763,65.69037656903765,1.3029625543538583,1.2217887664400346,1.9060831620244703,23.83489642823775,1
C: G1 + open-vol cap 3%,20.0,0.7913922119140625,714,26.330532212885156,1.589133366225263,34.22649572993943,19.891332017763624,1.7206738945071163,24.03595930983063,15.25,1.2982723031646808,0.590516681382119,40.254901960784316,65.82633053221288,1.2782163532229034,1.1582136515851729,1.8900730129659336,27.83878788309739,1
C: G1 + open-vol cap 4%,20.0,0.6460653686523437,711,23.066104078762308,1.8700361817136384,44.45551405956068,19.405211652865393,2.290905909959314,21.64095480122663,8.3,1.409701601347232,1.0016719013598732,40.53023909985935,65.68213783403657,1.400363759672102,1.2534102075348654,2.258888056472955,35.0345838558934,1
