label,risk,n,wr,pf,net,dd,mar,mc_med,mc_p95,p30,h1,h2,pf_pre2025,yrs_pos,yrs
   ATR20/ATR200 > 1.0 x1.3 else x0.7,0.69201416015625,711,21.37834036568214,1.9171917589498602,1667.3095471723798,24.979258726002204,2.1590538978990175,23.88572255313909,35.09747457636286,15.45,1.3993970871428354,2.0979059904455477,1.4834536211661857,7,8
   vol rank 0.00-0.67 x1.2/x0.6,0.69056396484375,710,21.408450704225352,1.9144282743713081,1885.1363507317376,24.987377762881273,2.2668312173210206,25.16548876333085,36.56951648460719,20.599999999999998,1.3904240411042113,2.0866314119507297,1.4804540697127926,7,8
   ATR20/ATR200 < 1.1 x1.3 else x0.7,0.6760620117187499,710,22.253521126760564,1.9111566050840911,1871.4804117733777,24.992249271013264,2.259895037193976,26.044501815188127,37.77101085038168,25.1,1.3717905133154666,2.0908937959866587,1.449358035134946,7,8
   ATR20/ATR200 < 1.05 x1.4 else x0.6,0.6666357421875,710,22.3943661971831,1.9109223435372378,1766.0495197543382,24.993020424302127,2.208358102849237,26.12025498851417,37.92402838032313,26.05,1.351441518254684,2.1070948690159765,1.4361104500293926,7,8
   ATR20/ATR200 > 0.95 x1.25 else x0.75,0.6731616210937499,711,21.518987341772153,1.897977742043335,1563.7137845093475,24.998205249659396,2.101806944873282,23.76765122527194,35.05212967022673,15.35,1.394695540541049,2.0817224018489586,1.4673088308913913,7,8
   vol rank 0.00-0.33 x1.4/x0.8,0.67388671875,710,21.69014084507042,1.895629140324375,1589.260779818421,24.98141366112758,2.1172104977568154,25.204769044020722,36.542291301275284,20.849999999999998,1.3583641595507767,2.0877218037067657,1.4646342907873566,7,8
   shorts trail 3.5 (longs 4.24),0.48463623046875,744,20.026881720430108,1.8854023373951438,722.2292432308486,24.97037183576851,1.490576969427882,17.488620940516263,25.62847382520027,1.25,1.4112959714517417,2.121377790045436,1.4793379808098444,7,8
   vol rank 0.00-0.50 x1.3/x0.7,0.6883886718750001,710,21.408450704225352,1.8781346949738493,1763.261414019059,24.979561452713238,2.2081529543823657,25.352910177677934,37.02023029429143,21.25,1.3761032866165868,2.0500174903982824,1.4851520029713179,7,8
"   adds only when vol rank in [0.20,0.90]",0.943623046875,710,22.95774647887324,1.8705348603199634,4008.668355687877,24.985384400007874,2.99072755820014,30.300974431390458,42.843223509916946,52.25,1.4573275706309348,1.9600768911108253,1.5320503942559605,7,8
   reentry flag on,0.6941894531249999,741,20.78272604588394,1.8254004980430023,1411.020084820424,24.98770927925159,2.015064152920375,26.524439584184417,38.23602768202124,27.500000000000004,1.330825669129315,2.0159263692165155,1.3885521800450282,7,8
   trail 5.0 once at least one add taken,0.62820556640625,663,21.71945701357466,1.8051875108125135,1305.9717471283725,24.977253094194136,1.9511167075508005,25.646344917206576,37.27936360741102,23.799999999999997,1.3020988356066938,1.9928974715671803,1.4434513455228954,7,8
   tighten to 3.0 after 48 bars in trade,0.9167944335937499,739,22.73342354533153,1.761451622915346,2219.1291596579786,24.994480668231482,2.4142731739092484,31.2111251718485,43.94373733792173,57.75,1.388814903938362,1.8639908987329303,1.415962573173798,7,8
"   entries only when vol rank in [0.33,1.00]",0.85008544921875,580,21.379310344827587,1.7342892749378993,845.046099225198,24.988467669809886,1.6055188217071603,27.810813035145912,40.285031493770234,36.95,1.294311259930971,1.9392078082659812,1.3676024966632057,7,8
   shorts trail 5.0 (longs 4.24),0.5622216796875,696,21.408045977011493,1.731472019418681,825.2414250009843,24.987875189439322,1.5877490676026291,22.983164553109695,33.69556641455104,12.15,1.3453971798602284,1.9219665033149778,1.3845721189935547,8,8
