arm,n,wr,pf,net,dd,bars,top10,is_pf,oos_pf,yrs_pos,yrs
4H trail3.0 long pyr,94,18.085106382978726,0.7119872500372681,-16.371045722242737,18.340892253400106,20.51063829787234,-230.84605093151598,0.9755868295278399,0.49403314688655187,2,7
4H trail4.24 both nopyr,114,34.21052631578947,0.5822555278259581,-16.07878989198808,16.055527359505874,29.07017543859649,-85.90861477635391,0.5324267559854857,0.6287065825293913,2,7
4H trail4.24 both pyr,114,14.035087719298245,0.41444118327155877,-46.941580496870245,45.96748270211115,29.07017543859649,-64.43319982687682,0.35136014263607784,0.4739429358564201,1,7
4H trail4.24 long nopyr,62,40.32258064516129,0.7966517299811611,-4.237359196055513,7.277853598643831,33.564516129032256,-299.38173035895346,0.5906051030233113,1.0717083018298599,3,7
4H trail4.24 long pyr,62,17.741935483870968,0.5863048372150557,-18.276582230429366,17.551594804218606,33.564516129032256,-140.88144022852885,0.44716622721017496,0.718750535729976,3,7
4H trail6.0 both nopyr,63,28.57142857142857,0.5573451099194766,-8.58886025214999,10.425611357668942,55.6031746031746,-106.50393281862858,0.3702772279045987,0.7773375647519987,2,7
4H trail6.0 both pyr,63,12.698412698412698,0.3289137801670333,-39.751295604603406,38.5235334183821,55.6031746031746,-47.64629096370648,0.2203901770377786,0.47368351947361553,1,7
4H trail6.0 long nopyr,37,32.432432432432435,0.6578565715358731,-3.9206620279866975,6.150933326530213,55.83783783783784,-186.8145775859354,0.3877760214322318,1.0027709026283784,1,7
4H trail6.0 long pyr,37,13.513513513513514,0.3788137313244599,-22.37389552524254,21.09524928934628,55.83783783783784,-52.55911986697653,0.22031201805723527,0.5765066746380665,1,7
Daily trail3.0 both nopyr,64,32.8125,0.5929843039455094,-8.98903208238403,10.33390381431137,14.734375,-118.23760743527804,0.6647172021299899,0.5529541983312332,2,6
Daily trail3.0 both pyr,64,14.0625,0.23976001183823653,-31.073111177050034,29.97060460083802,14.734375,-30.611036377849896,0.08623005946545736,0.3658590159327779,0,6
Daily trail3.0 long nopyr,35,37.142857142857146,0.8291886346704607,-2.0443902107363168,4.077420981074621,18.65714285714286,-462.1666040915435,0.9246048612092874,0.7894205377341402,4,6
Daily trail3.0 long pyr,35,17.142857142857142,0.4527980039123079,-11.541581901825047,10.126662567150575,18.65714285714286,-71.65603067272949,0.152925301559258,0.6750968452321883,2,6
Daily trail4.24 both nopyr,40,22.5,0.3561989313058579,-9.787226151691502,9.927344371584116,27.05,-54.364960693385235,0.1847990322501359,0.5393946195054788,1,6
Daily trail4.24 both pyr,40,7.5,0.17742118415968883,-26.60728416334308,25.228523751830224,27.05,-11.385068309883854,0.0008137691234794885,0.36507788319217616,1,6
Daily trail4.24 long nopyr,25,28.000000000000004,0.44041481178511577,-5.21208128634516,5.359305608033974,26.96,-71.1356698382076,0.16516555417674048,0.7746951735942932,2,6
Daily trail4.24 long pyr,25,12.0,0.2555956159275672,-16.714139494819648,16.54924892603333,26.96,-7.50689857899058,0.001246565557788259,0.49463628045609054,1,6
