ft,st,fast,slow,side,rise,win,exit,n,wr,pf1,net1,dd1,top10,pf2,net2
EMA,EMA,8,21,long,False,all-day,cross+3ATR,1602,23.096129837702872,0.628895585748398,-9659.8171610805,9848.000592163018,-21.82650007595137,0.5488915198635307,-12863.8171610805
EMA,EMA,8,21,long,False,cash10-16,cross,858,30.885780885780882,0.8184479702877472,-3001.3999999999896,3708.699999999988,-69.60751649230376,0.7339446954187329,-4717.39999999999
EMA,EMA,8,21,long,False,cash10-16,cross+3ATR,1293,25.212683681361174,0.6809067166375451,-6845.746369454626,7103.060132415071,-30.518220910460585,0.5970156556892267,-9431.746369454626
EMA,EMA,8,21,long,True,all-day,cross,1867,23.942153186930906,0.6922719372701184,-7613.500000000003,7860.0999999999985,-26.868063308596565,0.5890909485942727,-11347.500000000004
EMA,EMA,8,21,long,True,all-day,cross+3ATR,2286,22.30971128608924,0.6021196721304494,-11821.238997510583,11915.957324648822,-17.304446686432616,0.5078352666501188,-16393.238997510583
EMA,EMA,8,21,long,True,cash10-16,cross,1447,26.468555632342778,0.7461303700605898,-5099.199999999999,5557.499999999998,-39.51011923438971,0.6406371528636362,-7993.199999999999
EMA,EMA,8,21,long,True,cash10-16,cross+3ATR,1763,24.56040839478162,0.6605959331837461,-8034.564747155742,8208.896855766328,-25.075409351990213,0.5615478479056552,-11560.564747155742
EMA,EMA,8,21,both,False,all-day,cross,2074,26.90453230472517,0.7012268857066948,-12032.399999999996,12149.799999999992,-22.269871347362102,0.6265834616103594,-16180.399999999996
EMA,EMA,8,21,both,False,all-day,cross+3ATR,3224,21.681141439205955,0.5787937988588596,-22196.596589243818,22205.373770199287,-12.072121008400432,0.5043423939012917,-28644.596589243818
EMA,EMA,8,21,both,False,cash10-16,cross,1632,27.941176470588236,0.7616887028850324,-8188.399999999994,9005.199999999988,-33.4302183576767,0.6881910430206188,-11452.399999999994
EMA,EMA,8,21,both,False,cash10-16,cross+3ATR,2753,23.247366509262623,0.6287869485127543,-17580.679706546187,17689.051765848548,-15.629657361750638,0.5527733620358934,-23086.679706546187
EMA,EMA,8,21,both,True,all-day,cross,3676,22.606093579978236,0.6316417340681889,-18526.79999999999,18594.999999999964,-13.844808601593362,0.538219958816161,-25878.79999999999
