adds,spacing,tighten_after,tighten_to,risk,n,wr,pf,net,dd,cagr,mar,h1,h2
4,1.25,0,0.0,0.63857421875,733,23.05593451568895,1.6629816201256118,1277.1556314007587,24.997142605374293,48.27167805204255,1.9310878372820228,1.3266130226049875,1.803335830049297
2,1.25,30,2.5,0.885009765625,735,28.70748299319728,1.563480791087985,1275.9538166127775,24.98873199912712,48.25223786341593,1.9309598368217094,1.3500170194653758,1.6492329121816398
3,2.0,0,0.0,0.8885986328125001,733,21.964529331514324,1.6165886676709094,1233.4702152905065,24.975579321008766,47.55558656600054,1.904083423041887,1.3344263137278698,1.7422243598052578
2,1.0,25,1.5,0.8335693359375,736,30.434782608695656,1.5731112834724996,1227.7445998209132,24.981824566766342,47.460259791540295,1.8997915730573707,1.360471160809957,1.6609436685377308
2,1.0,30,1.5,0.8335693359375,735,30.476190476190478,1.5660104924852347,1226.2375633538554,24.971630118932726,47.435110809184366,1.8995600440685896,1.3677094437954491,1.6477014834336543
2,2.0,0,0.0,1.04052734375,733,25.2387448840382,1.5572928734731104,1221.45974598505,24.983792341425247,47.35521912827294,1.8954375893428306,1.3106389633072624,1.6630555479257743
4,1.25,15,2.0,0.60029296875,744,22.71505376344086,1.763887334810146,1215.2355459698676,24.959482470710874,47.25077293525768,1.8930990652833004,1.3201421124718944,1.9455602018088936
2,1.25,20,2.0,0.885009765625,739,28.68741542625169,1.5974931590556427,1189.7522759183312,24.98802359709487,46.818717350046946,1.8736462757098618,1.3515051030010496,1.692964053092265
2,1.0,25,2.0,0.8335693359375,735,30.476190476190478,1.5680083390783848,1189.0171050499432,24.981282144251736,46.80614561333265,1.8736486519409046,1.359355974533412,1.6545585058428192
2,1.0,30,2.0,0.8335693359375,735,30.476190476190478,1.5596546062626986,1181.1996937342894,24.97857884889492,46.672086277864125,1.8684844546281683,1.3613962056492126,1.642739802976621
3,1.25,15,2.5,0.7259033203124999,742,25.202156334231805,1.6236742156140704,1154.7607162981703,24.97294003644735,46.213477686863854,1.8505421315798818,1.304200177324285,1.751052128334929
3,2.0,15,2.0,0.765380859375,743,21.668909825033648,1.754470422782517,1138.685426257509,24.972771043471152,45.93060666619924,1.8392274764480843,1.3955625509631562,1.9071235778587365
2,1.0,30,2.5,0.8335693359375,735,30.476190476190478,1.5511788079138102,1127.7707698314741,24.98583253927384,45.736761966269256,1.8305078245593052,1.354203449306922,1.6352613989778182
2,1.25,0,0.0,0.9065429687500001,733,28.6493860845839,1.5377631341728544,1126.104311257066,24.97705046335826,45.70703684670605,1.829961344465353,1.3272359492087893,1.6245540987565399
2,1.25,15,2.0,0.8838134765625,748,28.475935828877002,1.6077883519393892,1121.5923754572877,24.977922093813916,45.62638343301562,1.8266684979498573,1.3130939613615389,1.7199823864326664
