
====================================================================================================
2025-26: 91,629,949 ticks, $3,321.45 .. $5,598.26  (load 16s)
  net drift over the year: +1,136.72  (+34.0%) -- drift biases continuation UP, which is why the phase controls matter
====================================================================================================
         S   phase           n    P(cont)         up       down
     12.50    4/12     179,825     0.5021     0.5296     0.4746
     12.50    5/12     178,363     0.5021     0.5373     0.4669
     12.50    6/12     179,684     0.5021     0.5462     0.4579
     12.50    7/12     179,951     0.5021     0.5355     0.4686
     12.50    8/12     173,709     0.5022     0.5200     0.4843
     12.50    9/12     176,778     0.5021     0.5180     0.4862
     12.50   10/12     181,832     0.5021     0.5103     0.4939
     12.50   11/12     179,499     0.5021     0.5163     0.4878
     25.00   ROUND      86,485     0.5012     0.5140     0.4884
     25.00    1/12      82,310     0.5012     0.5174     0.4851
     25.00    2/12      85,850     0.5012     0.5380     0.4643
     25.00    3/12      87,240     0.5012     0.5298     0.4725
     25.00    4/12      90,177     0.5012     0.5023     0.5001
     25.00    5/12      90,647     0.5012     0.4866     0.5157
     25.00    6/12      93,800     0.5011     0.4988     0.5034
     25.00    7/12      94,869     0.5011     0.5007     0.5015
     25.00    8/12      93,817     0.5010     0.5161     0.4860
     25.00    9/12      92,237     0.5011     0.5583     0.4439
     25.00   10/12      82,927     0.5012     0.5588     0.4437
     25.00   11/12      89,916     0.5011     0.5262     0.4761
     50.00   ROUND      39,317     0.5008     0.6275     0.3739
     50.00    1/12      38,901     0.5007     0.6194     0.3820
     50.00    2/12      43,929     0.5006     0.6401     0.3611
     50.00    3/12      43,518     0.5007     0.6212     0.3801
     50.00    4/12      48,672     0.5006     0.6648     0.3363
     50.00    5/12      39,562     0.5007     0.6279     0.3734
     50.00    6/12      45,530     0.5006     0.5727     0.4285
     50.00    7/12      45,500     0.5006     0.5597     0.4415
     50.00    8/12      44,747     0.5006     0.5588     0.4424
     50.00    9/12      48,641     0.5006     0.5253     0.4759
     50.00   10/12      43,711     0.5006     0.5531     0.4481
     50.00   11/12      41,769     0.5007     0.6102     0.3911
    100.00   ROUND      17,002     0.5004     0.8022     0.1982
    100.00    1/12      24,386     0.5002     0.7913     0.2090
    100.00    2/12      31,004     0.5002     0.8116     0.1886
    100.00    3/12      26,336     0.5003     0.7336     0.2668
    100.00    4/12      24,347     0.5003     0.5978     0.4027
    100.00    5/12      20,003     0.5004     0.6312     0.3694
    100.00    6/12      17,834     0.5004     0.7145     0.2862
    100.00    7/12      17,586     0.5005     0.7008     0.2999
    100.00    8/12      15,392     0.5005     0.6901     0.3107
    100.00    9/12      16,724     0.5004     0.6094     0.3914
    100.00   10/12      18,096     0.5004     0.6446     0.3560
    100.00   11/12      18,778     0.5003     0.6741     0.3264
    250.00   ROUND       5,501     0.5003     0.9982     0.0018
    250.00    1/12       4,258     0.5002     1.0000     0.0000
    250.00    2/12       2,655     0.5006     1.0000     0.0000
    250.00    3/12       2,187     0.5007     1.0000     0.0000
    250.00    4/12       2,763     0.5005     1.0000     0.0000
    250.00    5/12       2,847     0.5005     1.0000     0.0000
    250.00    6/12       9,129     0.5002     0.8614     0.1387
    250.00    7/12      10,483     0.5001     0.9002     0.0998
    250.00    8/12      12,333     0.5001     0.9434     0.0566
    250.00    9/12       7,593     0.5002     0.9787     0.0213
    250.00   10/12       4,429     0.5003     0.9585     0.0416
    250.00   11/12       4,433     0.5003     0.9346     0.0655

written: 192 rows -> research/quarters/results/asymmetry.csv
