year,bar,S,k,round,n,pf,exp,net_R,net_usd,wr,dd,tp,sl,time,hold
2024-25,H1,25.0,3,False,175,0.7755791145538121,-0.12577327493799045,-22.010323114148328,-221.21699999999998,44.57142857142857,33.72850499405421,77,97,1,84.81436666666667
2024-25,H1,25.0,6,False,167,0.8150260317471865,-0.10402174796486799,-17.371631910132955,-238.781,44.31137724550898,21.275021812603363,74,93,0,72.88718333333334
2024-25,H1,25.0,9,False,175,0.7677814417169725,-0.12810435254574062,-22.41826169550461,-242.58300000000003,45.714285714285715,25.08555817917474,80,95,0,58.620383333333336
2024-25,D1,25.0,0,True,99,0.9280827577704844,-0.029463456184607353,-2.916882162276128,-36.588,59.59595959595959,13.439598696589492,59,40,0,247.76748333333333
2024-25,D1,25.0,3,False,100,0.9770489409881284,-0.009740456972173633,-0.9740456972173633,11.580999999999982,57.99999999999999,12.624354187527931,58,42,0,227.39284166666667
2024-25,D1,25.0,6,False,96,1.1289614613484567,0.048827469780744266,4.68743709895145,89.87399999999997,62.5,12.149742310794004,60,36,0,184.7531666666667
2024-25,D1,25.0,9,False,95,1.0052456009394009,0.0018356720741713906,0.1743888470462821,30.698999999999984,65.26315789473685,10.542716727859581,62,33,0,194.3396
2024-25,H1,50.0,0,True,33,0.61944124444012,-0.2553055251583164,-8.425082330224441,-192.878,33.33333333333333,10.35534222880981,10,22,1,243.19268333333332
2024-25,H1,50.0,3,False,28,0.6952460943621849,-0.18653203005879868,-5.222896841646363,-111.18,39.285714285714285,8.17376863007451,11,17,0,344.023775
2024-25,H1,50.0,6,False,25,0.6759247606169506,-0.20929444281421167,-5.232361070355291,-124.06,36.0,8.355382801949721,8,16,1,183.26483333333334
2024-25,H1,50.0,9,False,25,0.7858122651439221,-0.1378739953742112,-3.4468498843552795,-99.024,36.0,7.69166236734022,9,16,0,302.86258333333336
2024-25,D1,50.0,0,True,41,1.3528736292126515,0.15020618787223955,6.158453702761822,101.91299999999998,56.09756097560976,3.9305430686303118,22,17,2,630.7961333333334
2024-25,D1,50.0,3,False,43,1.0173506291544985,0.007244082522323138,0.3114955484598949,-23.334999999999997,55.81395348837209,3.7615500043503056,22,17,4,552.6255166666666
