year,kind,S,k,round,n,hit
2025-26,weekly,100.0,3,False,108,0.21296296296296297
2025-26,weekly,100.0,4,False,108,0.18518518518518517
2025-26,weekly,100.0,5,False,108,0.18518518518518517
2025-26,weekly,100.0,6,False,108,0.25
2025-26,weekly,100.0,7,False,108,0.21296296296296297
2025-26,weekly,100.0,8,False,108,0.16666666666666666
2025-26,weekly,100.0,9,False,108,0.1574074074074074
2025-26,weekly,100.0,10,False,108,0.14814814814814814
2025-26,weekly,100.0,11,False,108,0.21296296296296297
2025-26,weekly,250.0,0,True,108,0.23148148148148148
2025-26,weekly,250.0,1,False,108,0.23148148148148148
2025-26,weekly,250.0,2,False,108,0.21296296296296297
2025-26,weekly,250.0,3,False,108,0.17592592592592593
2025-26,weekly,250.0,4,False,108,0.19444444444444445
2025-26,weekly,250.0,5,False,108,0.18518518518518517
2025-26,weekly,250.0,6,False,108,0.24074074074074073
2025-26,weekly,250.0,7,False,108,0.2222222222222222
2025-26,weekly,250.0,8,False,108,0.1388888888888889
2025-26,weekly,250.0,9,False,108,0.16666666666666666
2025-26,weekly,250.0,10,False,108,0.16666666666666666
2025-26,weekly,250.0,11,False,108,0.21296296296296297
2024-25,daily,12.5,0,True,626,0.18210862619808307
2024-25,daily,12.5,1,False,626,0.1853035143769968
2024-25,daily,12.5,2,False,626,0.19169329073482427
2024-25,daily,12.5,3,False,626,0.20607028753993611
2024-25,daily,12.5,4,False,626,0.20287539936102236
2024-25,daily,12.5,5,False,626,0.20607028753993611
2024-25,daily,12.5,6,False,626,0.2108626198083067
2024-25,daily,12.5,7,False,626,0.23322683706070288
2024-25,daily,12.5,8,False,626,0.22523961661341854
2024-25,daily,12.5,9,False,626,0.20607028753993611
2024-25,daily,12.5,10,False,626,0.17092651757188498
2024-25,daily,12.5,11,False,626,0.1869009584664537
2024-25,daily,25.0,0,True,626,0.2012779552715655
2024-25,daily,25.0,1,False,626,0.2124600638977636
2024-25,daily,25.0,2,False,626,0.21884984025559107
2024-25,daily,25.0,3,False,626,0.2220447284345048
2024-25,daily,25.0,4,False,626,0.20447284345047922
2024-25,daily,25.0,5,False,626,0.1869009584664537
2024-25,daily,25.0,6,False,626,0.1757188498402556
2024-25,daily,25.0,7,False,626,0.16932907348242812
2024-25,daily,25.0,8,False,626,0.1900958466453674
2024-25,daily,25.0,9,False,626,0.20607028753993611
2024-25,daily,25.0,10,False,626,0.2124600638977636
2024-25,daily,25.0,11,False,626,0.2108626198083067
2024-25,daily,50.0,0,True,626,0.2124600638977636
2024-25,daily,50.0,1,False,626,0.22843450479233227
2024-25,daily,50.0,2,False,626,0.19808306709265175
2024-25,daily,50.0,3,False,626,0.19169329073482427
2024-25,daily,50.0,4,False,626,0.1869009584664537
2024-25,daily,50.0,5,False,626,0.2108626198083067
2024-25,daily,50.0,6,False,626,0.20607028753993611
2024-25,daily,50.0,7,False,626,0.21405750798722045
2024-25,daily,50.0,8,False,626,0.19808306709265175
2024-25,daily,50.0,9,False,626,0.1805111821086262
2024-25,daily,50.0,10,False,626,0.19968051118210864
2024-25,daily,50.0,11,False,626,0.2012779552715655
2024-25,daily,100.0,0,True,626,0.18370607028753994
2024-25,daily,100.0,1,False,626,0.19488817891373802
2024-25,daily,100.0,2,False,626,0.19808306709265175
2024-25,daily,100.0,3,False,626,0.23162939297124602
2024-25,daily,100.0,4,False,626,0.21725239616613418
2024-25,daily,100.0,5,False,626,0.22044728434504793
2024-25,daily,100.0,6,False,626,0.23162939297124602
2024-25,daily,100.0,7,False,626,0.20766773162939298
2024-25,daily,100.0,8,False,626,0.1964856230031949
2024-25,daily,100.0,9,False,626,0.17731629392971246
2024-25,daily,100.0,10,False,626,0.16773162939297126
2024-25,daily,100.0,11,False,626,0.16613418530351437
2024-25,daily,250.0,0,True,626,0.18849840255591055
2024-25,daily,250.0,1,False,626,0.1805111821086262
2024-25,daily,250.0,2,False,626,0.15814696485623003
2024-25,daily,250.0,3,False,626,0.15814696485623003
2024-25,daily,250.0,4,False,626,0.21884984025559107
2024-25,daily,250.0,5,False,626,0.268370607028754
2024-25,daily,250.0,6,False,626,0.29233226837060705
2024-25,daily,250.0,7,False,626,0.2827476038338658
2024-25,daily,250.0,8,False,626,0.21884984025559107
2024-25,daily,250.0,9,False,626,0.15814696485623003
2024-25,daily,250.0,10,False,626,0.13578274760383385
2024-25,daily,250.0,11,False,626,0.16134185303514376
2024-25,weekly,12.5,0,True,106,0.1509433962264151
2024-25,weekly,12.5,1,False,106,0.18867924528301888
2024-25,weekly,12.5,2,False,106,0.18867924528301888
2024-25,weekly,12.5,3,False,106,0.19811320754716982
2024-25,weekly,12.5,4,False,106,0.20754716981132076
