year,S,k,round,config,n,pf,exp,net_R,net_usd,wr,dd,tp,sl,time,hold
2025-26,100.0,5,False,yotov,533,0.9716289932842185,-0.019524708066895713,-10.406669399655415,-350.6809999999999,32.4577861163227,48.13796842188829,156,356,21,141.84383333333332
2025-26,100.0,6,False,yotov,522,0.9966079775662248,-0.00229667142021222,-1.1988624813507789,-88.98499999999981,32.758620689655174,38.08834085894965,152,346,24,121.828975
2025-26,100.0,7,False,yotov,533,1.0085367831057495,0.005799149201429283,3.090946524361808,-47.52500000000002,32.833020637898684,44.30803142518997,159,352,22,137.95296666666667
2025-26,100.0,8,False,yotov,531,0.9021250155869213,-0.0683940956515536,-36.31726479097497,-1180.7150000000001,30.88512241054614,51.96456612451174,148,362,21,126.78295
2025-26,100.0,9,False,yotov,534,0.9352633002886127,-0.045133576232256535,-24.10132970802499,-787.6920000000001,30.711610486891384,37.74634017163092,155,367,12,147.88828333333333
2025-26,100.0,10,False,yotov,527,0.9311680185784199,-0.04836286030126423,-25.48722737876625,-810.3140000000001,30.36053130929791,34.65546590881453,154,363,10,150.5429
2025-26,100.0,11,False,yotov,519,0.9678118139678044,-0.02221770828142982,-11.530990598062075,-340.21999999999974,31.59922928709056,38.111967332962216,155,350,14,142.35858333333334
2025-26,250.0,0,True,yotov,87,1.0591652882366056,0.034190467982230646,2.9745707144540665,145.40500000000003,37.93103448275862,13.046709991611198,16,47,24,1276.1009166666668
2025-26,250.0,0,True,no-filter,177,0.2577608814957374,-1.0995561531146472,-194.62143910129254,-761.3209999999999,0.5649717514124294,197.2752134965972,1,176,0,0.019433333333333334
2025-26,250.0,0,True,tol-target,88,1.0415272728059073,0.023909549705702946,2.104040374101859,75.5439999999997,38.63636363636363,10.108231266254903,23,48,17,1167.2995666666666
2025-26,250.0,0,True,wide-stop,66,0.968175954534345,-0.016701286281589112,-1.1022848945848813,-200.567,40.909090909090914,9.350888070296243,13,30,23,1937.2654916666665
2025-26,250.0,0,True,long-clock,87,1.1871387719343385,0.11796712795203844,10.263140131827344,691.489,37.93103448275862,11.951599347359695,26,54,7,1466.7087
2025-26,250.0,1,False,yotov,92,1.1259765940966233,0.07176075962447385,6.601989885451594,409.7519999999999,39.130434782608695,7.015818936341782,18,49,25,1340.7850333333333
2025-26,250.0,2,False,yotov,91,1.172914665638369,0.09311296043702369,8.473279399769156,633.8879999999999,38.46153846153847,6.983765751233877,20,45,26,1311.1605166666666
2025-26,250.0,3,False,yotov,86,1.0821855797369124,0.04676652352572528,4.021921023212374,296.39800000000025,36.04651162790697,9.303215703521996,19,45,22,1251.8600166666668
2025-26,250.0,4,False,yotov,83,1.1936865798533614,0.10364539236653042,8.602567566422024,647.457,42.168674698795186,5.947712633831062,19,42,22,1332.49635
2025-26,250.0,5,False,yotov,97,0.8829815099374376,-0.07089884869062614,-6.877188322990736,-555.094,35.051546391752574,12.460667717024144,18,56,23,1098.50685
2025-26,250.0,6,False,yotov,91,1.07204333745359,0.03970071464321384,3.6127650325324594,273.7060000000001,40.65934065934066,7.392876070122066,17,48,26,1155.0437833333333
2025-26,250.0,7,False,yotov,85,1.0017397813070887,0.0009388855029925434,0.0798052677543662,7.170999999999843,40.0,8.053197832469843,14,43,28,1284.8639
2025-26,250.0,8,False,yotov,78,1.5520194179271019,0.24625084285475524,19.20756574267091,1505.1719999999998,51.28205128205128,6.603626794463217,19,32,27,1348.0838333333331
2025-26,250.0,9,False,yotov,92,1.281013770199406,0.14198218690782458,13.06236119551986,1001.99,42.391304347826086,12.006285490095406,20,43,29,895.965025
2025-26,250.0,10,False,yotov,85,1.1076330507870038,0.06009751035372092,5.108288380066278,277.21099999999984,40.0,9.628332639997385,17,43,25,1299.8745666666666
2025-26,250.0,11,False,yotov,81,1.1722717829699185,0.09585461926238674,7.764224160253326,474.8960000000001,40.74074074074074,9.644827086910652,16,43,22,1166.1022833333334
2024-25,25.0,0,True,yotov,1148,0.8591128923312124,-0.10153010616892134,-116.55656188192171,-964.5360000000002,29.268292682926827,139.2227823015034,334,809,5,69.95404166666667
2024-25,25.0,0,True,no-filter,36086,0.03078568759231371,-1.6967756941779182,-61229.84770010436,-23519.415999999997,0.09976168043008368,61229.84770010353,37,36048,1,0.01425
2024-25,25.0,0,True,tol-target,1194,0.8792379917411106,-0.0823697044578145,-98.34942712263052,-853.349,33.0820770519263,119.99192565982842,394,796,4,62.49595
2024-25,25.0,0,True,wide-stop,831,0.8877118382347626,-0.07315617797147603,-60.792783894296576,-631.9570000000001,36.34175691937425,84.24169660807024,297,525,9,121.84275
2024-25,25.0,0,True,long-clock,1149,0.8640422466265655,-0.09800210313474764,-112.60441650182504,-932.35,29.329852045256743,137.31749467802868,337,811,1,69.6078
2024-25,25.0,1,False,yotov,1152,0.8610456441921268,-0.09982034674684469,-114.99303945236508,-951.84,29.166666666666668,150.68351115371988,334,813,5,77.97763333333333
2024-25,25.0,2,False,yotov,1217,0.8377501779749195,-0.11760105057552209,-143.12047855041038,-1157.487,28.841413311421526,147.8790408161244,346,863,8,72.31175
2024-25,25.0,3,False,yotov,1195,0.855212299048473,-0.10467730069313626,-125.08937432829782,-1084.0349999999999,28.95397489539749,126.74643816077021,344,844,7,65.91528333333333
2024-25,25.0,4,False,yotov,1183,0.8578878847530583,-0.1025819718852877,-121.35447274029535,-1033.2949999999998,29.163144547759934,132.55736182470946,340,837,6,72.37395
2024-25,25.0,5,False,yotov,1206,0.855123182455609,-0.10436073469852664,-125.85904604642312,-1065.12,29.021558872305143,126.04769871035752,344,855,7,70.96191666666667
2024-25,25.0,6,False,yotov,1177,0.8858958073107128,-0.08159706163859781,-96.03974154862962,-862.455,29.566694987255737,113.45188451007398,345,827,5,79.3787
2024-25,25.0,7,False,yotov,1175,0.8790737617468474,-0.08648392456934303,-101.61861136897807,-862.8609999999999,29.531914893617024,103.90713607503872,345,825,5,77.72248333333333
2024-25,25.0,8,False,yotov,1178,0.9081992370197974,-0.06516535957274282,-76.76479357669103,-655.149,30.305602716468588,82.62444784980259,354,821,3,75.6387
2024-25,25.0,9,False,yotov,1153,0.9219782111416439,-0.05520779794937328,-63.65459103562739,-553.169,30.702515177797054,69.48031894880745,350,799,4,78.3566
2024-25,25.0,10,False,yotov,1162,0.9117350545661188,-0.0626285808060892,-72.77441089667565,-604.4370000000001,30.46471600688468,77.43893753492551,350,807,5,79.72515
2024-25,25.0,11,False,yotov,1145,0.9149988450507618,-0.0608114170604648,-69.6290725342322,-577.8399999999999,30.829694323144103,89.72830084826747,350,791,4,71.82576666666667
2024-25,50.0,0,True,yotov,286,1.043904605854718,0.02877920303462989,8.230852067904149,117.45199999999994,33.56643356643357,13.661338722961672,84,181,21,531.0154333333334
2024-25,50.0,0,True,no-filter,2883,0.0943544617030023,-1.4558416039350413,-4197.191344144724,-3171.1800000000003,0.2428026361429067,4197.19134414473,6,2876,1,0.02015
2024-25,50.0,0,True,tol-target,296,1.0999802166007722,0.06101382752676172,18.06009294792147,266.97900000000004,37.5,18.15335533696845,103,176,17,476.6741666666667
2024-25,50.0,0,True,wide-stop,212,1.03885459249115,0.022060763527812194,4.676881867896185,85.327,39.62264150943396,15.722177862163514,69,115,28,765.4153833333332
2024-25,50.0,0,True,long-clock,285,1.05919719745101,0.040359636679433125,11.502496453638441,178.27599999999993,32.631578947368425,13.98226098575952,93,190,2,534.1008
2024-25,50.0,1,False,yotov,296,0.920134710438355,-0.05474644539099477,-16.20494783573445,-267.351,31.756756756756754,19.425810740955022,80,195,21,478.20315
2024-25,50.0,2,False,yotov,295,1.0123016348987637,0.008108929785364727,2.3921342866825945,4.904999999999902,33.559322033898304,15.868906820484323,83,186,26,475.18893333333335
