t_ms,dir,entry,pnl_usd,pnl_R,tag,hold_min,year,S
1741167574785,1,2915.285,-15.311,-1.0017010140660778,SL,1103.4820666666667,2024-25,50.0
1741254622671,1,2915.225,-15.277,-1.003415435139573,SL,560.0367833333333,2024-25,50.0
1741315341713,1,2915.245,-3.22,-0.21121679239094784,TIME,4319.841016666666,2024-25,50.0
1741585085628,1,2915.301,-15.357,-1.0036598915103587,SL,55.714933333333335,2024-25,50.0
1741614149354,-1,2884.725,-15.37,-1.0062193126022914,SL,553.0123,2024-25,50.0
1741678406710,1,2915.255,34.745,2.2776138970829236,TP,3005.2371,2024-25,50.0
1741862659282,1,2966.055,33.945,2.114294612270321,TP,1167.7650166666667,2024-25,50.0
1741945028538,-1,2984.758,-15.343,-1.006626426978087,SL,4165.096766666667,2024-25,50.0
1742201704884,-1,2984.715,-15.327,-1.002747791952895,SL,109.04585,2024-25,50.0
1742253654392,1,3015.352,34.648,2.2569046378322044,TP,2389.9463833333334,2024-25,50.0
1742451050357,-1,3034.678,34.678,2.263281555932646,TP,1679.05745,2024-25,50.0
1742554248215,1,3015.832,-3.807,-0.2404623547246084,TIME,4319.975816666667,2024-25,50.0
1743068418510,-1,3034.815,-15.2,-1.0009878169245967,SL,39.55073333333333,2024-25,50.0
1743109585081,1,3065.252,16.663,1.0925124573826384,TIME,4319.996566666667,2024-25,50.0
1743382306086,1,3115.252,-15.254,-1.0001311303435616,SL,534.1008,2024-25,50.0
1743415621945,1,3115.405,34.595,2.2456994482310937,TP,3418.1477833333333,2024-25,50.0
1743623222977,1,3165.415,-15.67,-1.0165423289004216,SL,23.927633333333333,2024-25,50.0
1743642935057,-1,3134.545,34.545,2.2351989647363313,TP,343.00305,2024-25,50.0
1743668617038,-1,3084.725,-15.41,-1.0088379705400983,SL,100.18261666666666,2024-25,50.0
1743675227141,1,3115.412,-15.414,-1.0001297690111601,SL,196.31973333333335,2024-25,50.0
1743740478871,-1,3084.743,-15.258,-1.000065543684866,SL,105.71376666666667,2024-25,50.0
1743748997415,1,3115.355,-15.38,-1.0016281341582547,SL,62.31268333333333,2024-25,50.0
1743755953800,-1,3083.284,33.284,1.9911462072266093,TP,86.84096666666667,2024-25,50.0
1743763733215,-1,3034.505,-15.98,-1.031300419490158,SL,5.0428,2024-25,50.0
1743765003348,-1,3034.265,34.265,2.1776294884016525,TP,3296.99655,2024-25,50.0
1743962859256,1,3017.05,-18.095,-1.0612903225806452,SL,14.909216666666667,2024-25,50.0
1743963813601,1,3017.705,-17.907,-1.0114092064388591,SL,55.7236,2024-25,50.0
1743967719843,-1,2982.198,-17.837,-1.001966071227952,SL,21.5699,2024-25,50.0
1743970240115,-1,2981.818,-18.357,-1.0096249037509626,SL,61.638616666666664,2024-25,50.0
1743974401335,1,3015.851,34.149,2.154375118289067,TP,23.79,2024-25,50.0
1743978832072,-1,3034.255,34.255,2.1756113051762465,TP,723.6886666666667,2024-25,50.0
1744024440695,-1,2984.605,-15.44,-1.0029230269568041,SL,597.373,2024-25,50.0
1744080051888,1,3015.755,-15.77,-1.0009520787051729,SL,159.058,2024-25,50.0
1744098815393,1,3015.815,-15.82,-1.0003161555485298,SL,247.53806666666668,2024-25,50.0
1744116302012,-1,2984.583,-15.452,-1.0022702211844068,SL,532.1563833333333,2024-25,50.0
1744161172790,1,3015.245,34.755,2.279763857002296,TP,118.55353333333333,2024-25,50.0
1744183863706,1,3065.385,-15.51,-1.008124796880078,SL,54.335883333333335,2024-25,50.0
1744191087970,1,3065.435,-15.464,-1.001878846776806,SL,284.1019166666667,2024-25,50.0
1744208952036,1,3065.585,34.415,2.208213025344883,TP,363.40341666666666,2024-25,50.0
1744233582327,-1,3084.645,-15.38,-1.0016281341582547,SL,41.610033333333334,2024-25,50.0
1744236593815,1,3117.245,32.755,1.8993911278631488,TP,746.9898666666667,2024-25,50.0
1744283751072,1,3165.551,34.449,2.2152273165712817,TP,556.5025333333333,2024-25,50.0
1744317792298,1,3215.605,-15.9,-1.018904197372637,SL,298.78951666666666,2024-25,50.0
1744344079229,1,3215.435,12.56,0.8137350178166505,TIME,4319.9902833333335,2024-25,50.0
1744627779358,1,3215.355,-15.71,-1.023119505047216,SL,51.94886666666667,2024-25,50.0
1744637681373,1,3215.465,34.535,2.2331070158422244,TP,1823.5914333333333,2024-25,50.0
1744776938407,1,3315.361,-15.396,-1.0022784974936527,SL,14.305366666666666,2024-25,50.0
1744797404905,1,3315.475,34.525,2.231017770597738,TP,485.8020666666667,2024-25,50.0
1744839066755,-1,3334.125,34.125,2.1496062992125986,TP,780.12715,2024-25,50.0
1744886162537,-1,3284.635,-15.4,-1.0022779043280183,SL,30.449316666666668,2024-25,50.0
1744894133147,1,3315.765,11.15,0.7072629241991754,TIME,250.10246666666666,2024-25,50.0
1745181796202,1,3365.365,34.635,2.254149040026033,TP,654.3904833333333,2024-25,50.0
1745225894623,1,3415.485,34.515,2.228931223764934,TP,760.2174666666666,2024-25,50.0
1745275237341,1,3465.405,-15.41,-1.000324569944823,SL,366.32148333333333,2024-25,50.0
1745301910922,1,3465.465,-15.49,-1.0016165535079211,SL,58.75438333333334,2024-25,50.0
1745310048410,1,3465.495,-15.54,-1.0029041626331074,SL,14.4036,2024-25,50.0
1745311802210,-1,3434.565,-15.54,-1.0068027210884354,SL,35.80303333333333,2024-25,50.0
1745325106017,-1,3384.505,-15.5,-1.000322684737012,SL,44.43363333333333,2024-25,50.0
1745332827078,-1,3384.625,34.625,2.252032520325203,TP,199.70791666666668,2024-25,50.0
1745350574787,-1,3334.315,-15.78,-1.0060567421102964,SL,51.952983333333336,2024-25,50.0
1745355129720,1,3365.325,-15.706,-1.0248613376835236,SL,124.7794,2024-25,50.0
1745363569645,-1,3334.515,34.515,2.228931223764934,TP,220.88545,2024-25,50.0
1745379628948,1,3315.485,-15.56,-1.0048433968356474,SL,339.49371666666667,2024-25,50.0
1745401228412,-1,3284.525,-15.475,-1.0,SL,179.91225,2024-25,50.0
1745414117997,-1,3283.385,-16.74,-1.0075233222991273,SL,286.5905333333333,2024-25,50.0
1745433542310,1,3315.335,34.665,2.2605151613955003,TP,157.90211666666667,2024-25,50.0
1745449916787,-1,3334.455,-15.55,-1.0003216468317786,SL,1062.5548,2024-25,50.0
1745519403462,1,3366.475,-16.5,-1.0015174506828528,SL,64.74958333333333,2024-25,50.0
1745538738579,-1,3334.575,34.575,2.2414910858995136,TP,119.8666,2024-25,50.0
1745571699886,-1,3283.695,-16.38,-1.0045998160073597,SL,394.20886666666667,2024-25,50.0
1745599500162,1,3315.555,-15.68,-1.00803600128576,SL,3036.6709166666665,2024-25,50.0
1745787161916,1,3315.685,-15.87,-1.011794708320051,SL,29.182283333333334,2024-25,50.0
1745789620953,-1,3284.425,-15.72,-1.0093097913322633,SL,206.35183333333333,2024-25,50.0
1745808113157,-1,3284.615,-15.4,-1.0009749756256094,SL,343.5229166666667,2024-25,50.0
1745835942075,1,3315.585,34.415,2.208213025344883,TP,277.49175,2024-25,50.0
1745864209397,-1,3334.245,34.245,2.17359568390987,TP,951.4128166666667,2024-25,50.0
1745922471250,1,3315.315,-16.4,-1.0708455762324518,SL,1063.1432666666667,2024-25,50.0
1746005799053,1,3315.515,-15.56,-1.0029004189494037,SL,25.164683333333333,2024-25,50.0
1746030994633,-1,3284.725,34.725,2.2733224222585924,TP,227.94185,2024-25,50.0
1746049901869,-1,3234.655,-15.41,-1.004235907461714,SL,32.43018333333333,2024-25,50.0
1746054811155,-1,3233.915,-16.085,-1.0,SL,1433.2802666666666,2024-25,50.0
1746164682103,1,3265.575,-16.46,-1.0568218298555376,SL,165.32621666666665,2024-25,50.0
1746186005115,-1,3234.575,-15.61,-1.0119935170178282,SL,3363.1817,2024-25,50.0
1746393716920,1,3265.445,34.555,2.237293622531564,TP,487.16723333333334,2024-25,50.0
1746425078787,1,3315.585,34.415,2.208213025344883,TP,900.4882166666666,2024-25,50.0
1746480843382,1,3365.705,-15.96,-1.0162368672397326,SL,251.24341666666666,2024-25,50.0
1746537566244,1,3415.505,-15.94,-1.0280554659787164,SL,289.6079,2024-25,50.0
1746555090283,1,3416.635,-16.97,-1.0201382626991284,SL,6.613733333333333,2024-25,50.0
1746556132941,-1,3384.055,-16.07,-1.0078394481028536,SL,8.3968,2024-25,50.0
1746557869008,-1,3383.965,-16.25,-1.0134081696289368,SL,54.46021666666667,2024-25,50.0
1746562662895,-1,3384.365,-15.635,-1.0,SL,1534.1295833333334,2024-25,50.0
1746665649739,-1,3384.565,34.565,2.2393909944930352,TP,80.09918333333333,2024-25,50.0
1746696770289,1,3365.715,-15.87,-1.0098631880369073,SL,112.89541666666666,2024-25,50.0
1746704760277,-1,3334.605,34.605,2.247807729782397,TP,83.39181666666667,2024-25,50.0
1746727691656,1,3316.095,-16.906,-1.0503883193538366,SL,198.02893333333333,2024-25,50.0
