year,S,k,round,n,p,p_up,p_dn,unres
2025-26,5.0,9,False,1243884,0.5122776721945134,0.5110644933127572,0.5134913895697036,81
2025-26,5.0,10,False,1250660,0.5122303423792238,0.5131435478146313,0.5113167045756276,81
2025-26,5.0,11,False,1244161,0.5123356221582255,0.5104544680194528,0.5142176322758342,4
2025-26,10.0,0,True,605348,0.5065119567587569,0.5085489284109828,0.504474258145529,37
2025-26,10.0,1,False,592459,0.5066325264701861,0.5059824559627113,0.5072828318297229,85
2025-26,10.0,2,False,600154,0.5065366555917314,0.49849233506478796,0.5145839791214615,123
2025-26,10.0,3,False,608355,0.5064723722168799,0.49366610131608357,0.5192835699183543,222
2025-26,10.0,4,False,621169,0.5063581730575737,0.4958312677452792,0.5168892481394293,204
2025-26,10.0,5,False,632774,0.5062486764626866,0.5028724917048507,0.5096262060419064,168
2025-26,10.0,6,False,638194,0.5062269466651207,0.4985289556054781,0.5139280262543373,112
2025-26,10.0,7,False,630647,0.5063244572637308,0.5040838327150512,0.5085660270826659,70
2025-26,10.0,8,False,631989,0.5063031160352475,0.5063896297843125,0.5062165669610357,84
2025-26,10.0,9,False,626583,0.5063543058142337,0.5093297335592766,0.5033777096702103,24
2025-26,10.0,10,False,621772,0.5063544193048256,0.5134187718085191,0.4992873849440364,4
2025-26,10.0,11,False,618069,0.5063932991300324,0.5164369069303215,0.4963460181631055,10
2025-26,12.5,0,True,496281,0.5051855702716808,0.5060438055022806,0.5043270064048563,24
2025-26,12.5,1,False,496002,0.50516126951101,0.5049446274294791,0.5053779919743502,4
2025-26,12.5,2,False,495424,0.5051531617362098,0.5052369439657086,0.5050693477075889,37
2025-26,12.5,3,False,498922,0.5051250496069526,0.5041701902536582,0.5060802764891966,51
2025-26,12.5,4,False,496323,0.5051508795683456,0.5121147415494944,0.4981842950591061,35
2025-26,12.5,5,False,492524,0.5051835037480407,0.5042710405586456,0.5060963227111375,63
2025-26,12.5,6,False,493964,0.5051805394725122,0.5015888822769796,0.5087735638933323,147
2025-26,12.5,7,False,500385,0.5050970752520559,0.49952644892641773,0.51066968354734,188
2025-26,12.5,8,False,493707,0.505200452900202,0.503110545884602,0.5072911812969754,204
2025-26,12.5,9,False,494523,0.5051534509011715,0.5062270529056885,0.5040794450174949,138
2025-26,12.5,10,False,488145,0.5052105419496257,0.5066012887157493,0.5038192651602698,144
2025-26,12.5,11,False,490347,0.5052299697968989,0.5064309599543267,0.5040285239896054,88
2025-26,25.0,0,True,240876,0.5027275444627111,0.5268095068113331,0.47863638251048457,260
2025-26,25.0,1,False,238528,0.5027376240944459,0.5177513056745496,0.4877181506361067,37
2025-26,25.0,2,False,243934,0.5026974509498471,0.5230346749733584,0.4823525552712721,35
2025-26,25.0,3,False,243905,0.5027080215657735,0.5163681082188973,0.48904289346346264,147
2025-26,25.0,4,False,252657,0.5026063002410383,0.5007716598998029,0.5044415942235523,212
2025-26,25.0,5,False,250659,0.5026350539976622,0.49937775224966496,0.5058935255013687,144
2025-26,25.0,6,False,255186,0.5025863487808893,0.5168004012036108,0.4883671709649604,24
2025-26,25.0,7,False,256850,0.5025618065018493,0.5188674104119144,0.48625010708639343,80
2025-26,25.0,8,False,252324,0.5026117214375169,0.5142012584597341,0.4910177741838304,102
2025-26,25.0,9,False,250004,0.5026319578886738,0.5243309391646538,0.4809246427371217,92
2025-26,25.0,10,False,240951,0.5027287705799104,0.5267757114048847,0.47867164798671646,122
2025-26,25.0,11,False,237278,0.5027604750545773,0.527215728575883,0.4782953252118198,250
2025-26,50.0,0,True,108209,0.5016033786468778,0.5402653559021362,0.4629249625644723,172
2025-26,50.0,1,False,114403,0.5015427917100076,0.5136245258944645,0.4894561986361252,50
2025-26,50.0,2,False,124819,0.5013980243392432,0.5140898095192323,0.48870156094746625,142
2025-26,50.0,3,False,126828,0.5013877061847541,0.5135199054000789,0.4892512972572276,58
2025-26,50.0,4,False,128454,0.5013390007317795,0.4969021451477319,0.5057773763548026,102
2025-26,50.0,5,False,118673,0.5014620006235623,0.5084922828064973,0.4944289928360725,122
2025-26,50.0,6,False,132504,0.5013207148463442,0.5185319328745623,0.48410326086956523,260
2025-26,50.0,7,False,129225,0.5013580963435867,0.554778410497648,0.44791876286744786,301
2025-26,50.0,8,False,127276,0.5013435368804802,0.5472670426872378,0.4554041523252707,644
2025-26,50.0,9,False,127593,0.5013597924651039,0.5472824724172518,0.45542055342165083,742
2025-26,50.0,10,False,122842,0.5013920320411586,0.548288379209871,0.45447735673924017,1038
2025-26,50.0,11,False,121404,0.5014167572732364,0.5603320486214053,0.4424781677376833,886
2025-26,100.0,0,True,52589,0.5009602768639829,0.5233079847908745,0.47860321807600137,172
2025-26,100.0,1,False,63565,0.5008101942893102,0.5603372341764188,0.4412625483840514,108
2025-26,100.0,2,False,65653,0.5007539640229692,0.5215947855750487,0.4799061576429725,126
2025-26,100.0,3,False,66743,0.5007266679651798,0.5301554962998472,0.4712881376251274,22
2025-26,100.0,4,False,63718,0.5007533193132239,0.5873713281446146,0.41410811828969674,17
2025-26,100.0,5,False,61169,0.5007601889846164,0.5961098398169337,0.4053762385951143,41
2025-26,100.0,6,False,55585,0.5008545470900423,0.6125980286351536,0.38906682981250224,37
2025-26,100.0,7,False,60907,0.5007798775181834,0.5749368002889129,0.4265961639516553,383
2025-26,100.0,8,False,62673,0.5007898137954143,0.5871354731669963,0.41441383932846065,107
2025-26,100.0,9,False,65589,0.5007546997209898,0.6117987804878049,0.3896733660678886,415
2025-26,100.0,10,False,63545,0.5007632386497758,0.6302158726162754,0.37126577895300156,644
2025-26,100.0,11,False,61635,0.5007868905654255,0.5702884209843299,0.4312605478385045,1038
2025-26,250.0,0,True,21160,0.5004725897920604,0.5612360612360613,0.439686141047457,172
2025-26,250.0,1,False,21960,0.5004553734061931,0.6028956474230559,0.39797777372927673,226
2025-26,250.0,2,False,24917,0.5003812658024642,0.5053772070626004,0.49538412137753873,289
2025-26,250.0,3,False,28467,0.5003337197456704,0.6094836670179136,0.3911607644744238,227
2025-26,250.0,4,False,31433,0.5003022301402984,0.6919455401450566,0.30862233534839323,985
